year,demand_local_gwh,exports_gwh,pumping_gwh,losses_gwh,demand_total_gwh,large_hydro_gwh,thermal_gwh,nuclear_gwh,law_renewables_gwh,local_generation_gwh,imports_gwh,supply_total_gwh,balance_residual_gwh,balance_residual_ppm,renewable_coverage,thermal_emissions_mt,local_intensity_kg_per_mwh,supply_boundary_intensity_kg_per_mwh,published_total_utilization,recomputed_local_utilization
2005,92387.47199999998,1361.7700720000003,432.0,3978.7222120000215,98159.964284,37891.92814,51350.65098,6374.35893,1321.346224,96938.284274,1221.68001,98159.964284,0.0,0.0,0.014302222968066495,24.797638642925474,255.8085159918236,252.6247724701696,0.6227970333127996,0.6150458213860694
2006,97595.0,2099.8471229999996,348.0,4584.426740999988,104627.27386399999,41079.955942,53928.208461,7153.182466,1907.0440820000001,104068.390951,558.8829130000001,104627.27386399999,0.0,0.0,0.019540387130488245,28.20772186101043,271.0498509993478,269.60199591624934,0.6262292405835466,0.6228841393565181
2007,102969.00000000001,577.7079199999998,571.0,4364.3112819999815,108482.019202,35426.19450400001,61012.33341,6720.685791,1863.8054969999998,105023.019202,3458.920303,108481.939505,-0.07969699999375734,-0.7346568503237726,0.0181006467674737,32.80173502711295,312.3290044063815,302.37046993062927,0.6571750781543196,0.636221210341615
2008,105976.64323700001,1618.4803210000002,536.532224,4250.686062000013,112382.34184400001,35121.277183000006,66876.78845400001,6849.44179,1760.6652729999996,110608.17270000002,1774.169144,112382.34184400002,1.4551915228366852e-11,1.29485780324516e-10,0.016613710523577824,37.1030978734569,335.446260142917,330.15060252935814,0.6667658819107739,0.6562397135239277
2009,104656.70064499998,1292.125263,714.2328190000001,4226.386992000035,110889.445719,38799.471680999995,61362.89719300001,7588.7033839999995,1542.81067,109293.882928,1595.562791,110889.44571900001,1.4551915228366852e-11,1.3122903747974547e-10,0.014741632981850633,34.12859294935443,312.26443818303596,307.7713368307221,0.6092731713595001,0.6005064794938086
2010,110775.67740800005,361.454784,554.209552,4043.8745879999497,115735.216332,38799.160307,66391.572679,6691.63827,1501.8096349999998,113384.180891,2351.0354409999995,115735.216332,0.0,0.0,0.013557214635381155,36.191229947588994,319.1911751991297,312.70715253834425,0.6282701050742339,0.615507479052841
2011,116506.95494999997,264.93749,566.201091,3895.7560150000854,121233.84954600004,38083.56575900007,73474.972681,5892.363495,1370.7022570000001,118821.60419200006,2412.245354,121233.84954600006,1.4551915228366852e-11,1.2003178388594668e-10,0.01176498225010043,40.63500210656254,341.9832814317313,335.1786836657719,0.6261315561231827,0.6136731301727815
2012,121192.12629599999,279.592116,722.764116,3532.612553000034,125727.09508100002,35172.541903000005,82331.443788,5904.082555,1973.7217509999998,125381.78999700001,345.305084,125727.09508100002,0.0,0.0,0.016285890934691388,43.60653464500183,347.7900151692299,346.8348220159561,0.6063395696130569,0.6046742791211156
2013,125238.54622599989,0.438723,499.689229,4081.768958000112,129820.443136,39055.56412099999,82711.587689,5732.493447999999,1978.489054,129478.134312,342.3088240000001,129820.443136,0.0,0.0,0.015797764455279664,43.246949802132704,334.0096768611269,333.1289645716828,0.6239525854669449,0.6223073555585922
2014,126467.08000499997,5.68599,485.18030300000004,4245.528828000067,131203.47512600003,39206.70038000001,83048.177488,5257.727446000001,2301.224037,129813.82935100002,1389.645775,131203.47512600003,0.0,0.0,0.018196229697950008,43.78455571501268,337.28729777029247,333.7149086406788,0.6137259609142317,0.6072256629017496
