year,local_demand_gwh,exports_gwh,pumping_gwh,losses_gwh,total_demand_gwh,peak_mw,published_load_factor,calculated_load_factor,local_generation_gwh,imports_gwh,net_imports_gwh,total_supply_gwh,balance_residual_gwh
2012,121192.12629599999,279.592116,722.764116,3532.612553000034,125727.09508100002,21949.0,0.646912492211619,0.6469124922116191,125381.78999700001,345.305084,65.71296800000005,125727.09508100002,0.0
2013,125238.54622599989,0.438723,499.689229,4081.768958000112,129820.443136,23794.0,0.6204334310134592,0.6204334310134592,129478.134312,342.3088240000001,341.8701010000001,129820.443136,0.0
2014,126467.08000499997,5.68599,485.18030300000004,4245.528828000067,131203.47512600003,24034.0,0.620850906578124,0.620850906578124,129813.82935100002,1389.645775,1383.959785,131203.47512600003,0.0
2015,132109.619306,55.420548000000004,578.1123240000001,4127.330713999992,136870.48289199997,23949.0,0.6493867486864685,0.6493867486864685,135215.845996,1654.636896,1599.216348,136870.482892,2.9103830456733704e-11
2016,133110.79462500024,327.231837,464.75569,4166.78782199977,138069.569974,25380.0,0.6157659605283841,0.615765960528384,136599.680812,1469.8891619999997,1142.6573249999997,138069.569974,0.0
2017,132530.21963199996,69.226651,400.69981999999993,4198.435839000055,137198.58194200002,25628.0,0.6090328548282665,0.6090328548282665,136464.69848700002,733.8834549999999,664.656804,137198.58194200002,0.0
2018,133009.924433,280.30169200000006,282.455337,4252.689239999978,137825.370702,26320.0,0.5953361753870522,0.5953361753870521,137481.834561,343.53614100000004,63.234448999999984,137825.370702,0.0
2019,128946.058016,261.182016,409.2923819999999,4376.384092999992,133992.916507,26113.0,0.5828306537647145,0.5828306537647145,131246.576278,2746.340229,2485.1582129999997,133992.916507,0.0
2020,127306.937851,3088.920078,587.6108,4397.051299999924,135380.52002899992,25791.0,0.5813509959763782,0.5813509959763782,134176.87687799992,1203.643151,-1885.2769270000001,135380.52002899992,0.0
2021,133877.486513,3849.8440589999823,536.4381920000037,4352.194962999995,142615.963727,27088.0,0.5825326345285584,0.5825326345285584,141796.97804000002,818.9856869999999,-3030.8583719999824,142615.96372700002,2.9103830456733704e-11
2022,138775.23340400006,31.271412,809.9094650000021,5440.177003999989,145056.59128500006,28283.0,0.5820792134358912,0.5820792134358912,138746.60366299996,6309.987622,6278.71621,145056.59128499994,-1.1641532182693481e-10
2023,140883.538343,97.7049229999999,817.700803,5842.483351000003,147641.42742000002,29105.0,0.57548688732106,0.57548688732106,141400.86720100007,6240.560219,6142.855296,147641.42742000008,5.820766091346741e-11
2024,140219.40169500012,970.100486,545.3853799999999,5056.875385,146791.76294600012,29653.0,0.5577424976643938,0.5577424976643939,142137.86904799985,4653.892988,3683.7925019999993,146791.76203599985,-0.0009100002644117922
2025,141252.2905739998,508.5871709999999,522.0300609999999,4813.437545,147096.3453509998,30257.0,0.551084703592496,0.5510847035924961,142792.66615699994,4303.789365,3795.2021939999995,147096.45552199995,0.11017100015305914
