year,imports_gwh,exports_gwh,net_imports_gwh,gross_trade_gwh,import_share_total_supply,net_import_share_local_demand,top_import_partner,top_import_partner_share,top_export_partner,top_export_partner_share
2012,345.305084,279.592116,65.71296800000005,624.8972,0.002746465141642987,0.0005422214297940652,Uruguay,0.5596201705503994,Uruguay,0.9974454429895299
2013,342.3088240000001,0.438723,341.8701010000001,342.74754700000005,0.002636786747379972,0.0027297514327823368,Uruguay,0.6029893959146082,Brasil,1.0
2014,1389.645775,5.68599,1383.959785,1395.331765,0.010591531768998241,0.010943241394877498,Uruguay,0.9116327936160565,Chile,0.8860325114887646
2015,1654.636896,55.420548000000004,1599.216348,1710.057444,0.012089070346201814,0.012105222590156752,Uruguay,0.7934953724131146,Brasil,0.999915554786647
2016,1469.8891619999997,327.231837,1142.6573249999997,1797.1209989999998,0.010646003766628633,0.008584257409168761,Uruguay,0.5095806495918637,Brasil,0.9798599822669455
2017,733.8834549999999,69.226651,664.656804,803.1101059999999,0.0053490600603309825,0.005015133950925075,Uruguay,0.6458348880477215,Brasil,0.9981618639907918
2018,343.53614100000004,280.30169200000006,63.234448999999984,623.837833,0.002492546468405871,0.0004754115098520528,Uruguay,0.9231694460933004,Brasil,0.9530128451739777
2019,2746.340229,261.182016,2485.1582129999997,3007.522245,0.020496159801525977,0.019272851386365253,Uruguay,0.8765987238502488,Brasil,0.9999420404198122
2020,1203.643151,3088.920078,-1885.2769270000001,4292.563229,0.008890814946952243,-0.01480890954432136,Uruguay,0.5891279067312203,Brasil,0.8473929105671343
2021,818.9856869999999,3849.8440589999823,-3030.8583719999824,4668.829745999982,0.0057425947670748006,-0.022639044479712985,Uruguay,0.766364893749358,Brasil,0.9857064177873992
2022,6309.987622,31.271412,6278.71621,6341.259034,0.04350017855860442,0.04524378057950376,Brasil,0.7698660872270091,Brasil,0.8938033882192464
2023,6240.560219,97.7049229999999,6142.855296,6338.265142,0.04226835467559716,0.04360236382652734,Brasil,0.925586858758906,Brasil,0.7963844053180411
2024,4653.892988,970.100486,3683.7925019999993,5623.993474,0.03170404744415193,0.026271631867413353,Brasil,0.5365467808216823,Brasil,0.9545369437120351
2025,4303.789365,508.5871709999999,3795.2021939999995,4812.376536,0.02925828055969927,0.026868252391360366,Brasil,0.695734077590017,Uruguay,0.8006356102128261
