year,thermal_gwh,large_hydro_gwh,nuclear_gwh,renewables_gwh,local_generation_gwh,imports_gwh,supply_total_gwh,demand_local_gwh,demand_total_gwh
2012,82331.443788,35172.541903000005,5904.082555,1973.7217509999998,125381.78999700001,345.305084,125727.09508100002,121192.12629599999,125727.09508100002
2013,82711.587689,39055.56412099999,5732.493447999999,1978.489054,129478.134312,342.3088240000001,129820.443136,125238.54622599989,129820.443136
2014,83048.177488,39206.70038000001,5257.727446000001,2301.224037,129813.82935100002,1389.645775,131203.47512600003,126467.08000499997,131203.47512600003
2015,86346.962149,39840.35617500001,6518.524684000001,2510.002988,135215.845996,1654.636896,136870.482892,132109.619306,136870.48289199997
2016,90098.587675,36191.961047,7677.292339,2631.839751,136599.680812,1469.8891619999997,138069.569974,133110.79462500024,138069.569974
2017,88529.71855,39584.001327000005,5716.2278719999995,2634.750738,136464.69848700002,733.8834549999999,137198.58194200002,132530.21963199996,137198.58194200002
2018,87727.03521700001,39951.65359,6452.917816,3350.2279380000004,137481.834561,343.53614100000004,137825.370702,133009.924433,137825.370702
2019,80137.202966,35370.1581,7927.0774630000005,7812.137749,131246.576278,2746.340229,133992.916507,128946.058016,133992.916507
2020,82335.80538299994,29093.030599999995,10010.880095,12737.160799999998,134176.87687799992,1203.643151,135380.52002899992,127306.937851,135380.52002899992
2021,90074.351489,24116.234107000007,10169.693915000003,17436.698529,141796.97804000002,818.9856869999999,142615.96372700002,133877.486513,142615.963727
2022,81750.89325499997,30186.324776,7469.153758,19340.231873999986,138746.60366299996,6309.987622,145056.59128499994,138775.23340400006,145056.59128500006
2023,73020.09551000007,39331.815755999996,8963.021652999998,20085.93428200001,141400.86720100007,6240.560219,147641.42742000008,140883.538343,147641.42742000002
2024,75388.19450199987,33424.040586,10449.015390000002,22876.61856999999,142137.86904799985,4653.892988,146791.76203599985,140219.40169500012,146791.76294600012
2025,75224.68757299993,30144.156356,10760.574497,26663.247731000003,142792.66615699994,4303.789365,147096.45552199995,141252.2905739998,147096.3453509998
