year,residential_gwh,commercial_gwh,large_demand_gwh,residential_share_local_demand,commercial_share_local_demand,large_demand_share_local_demand
2012,47721.68243300001,37696.18024849937,35774.26361450061,0.393768835414641,0.3110447963956843,0.2951863681896747
2013,50381.37495499994,35937.807186999955,38919.364084,0.40228329434680565,0.2869548415401453,0.3107618641130491
2014,51444.141257999996,35994.917811,39028.020935999986,0.4067789123933763,0.2846188732243752,0.3086022143822486
2015,55424.49793600001,37351.093336000005,39334.028034,0.41953415827822915,0.28272803700603527,0.2977378047157356
2016,57067.2774290001,38540.86510100002,37502.652095000114,0.42872013190042213,0.2895397417585655,0.2817401263410123
2017,55906.996237999985,38367.434939,38255.78845499999,0.42184338329203985,0.28949951977394917,0.28865709693401104
2018,57017.00706900001,38228.900634,37764.016729999996,0.4286673142027136,0.28741389634618375,0.2839187894511026
2019,55528.67056599999,37027.570021,36389.817429,0.43063488268179423,0.28715550200383416,0.2822096153143716
2020,60021.33280599999,35073.941554,32211.663491,0.4714694565684153,0.27550691381054604,0.2530236296210386
2021,60785.862307000025,36640.13010900004,36451.49409699994,0.4540409585677237,0.2736840305516353,0.27227501088064093
2022,63156.98270500009,38520.07107100004,37098.17962799994,0.45510269488171984,0.2775716540058778,0.2673256511124025
2023,65296.23156,38913.19628,36674.11050299998,0.4634766582950771,0.27620825497199375,0.2603150867329291
2024,65590.73785800026,38424.28650099996,36204.37733599992,0.4677721988906408,0.2740297422219715,0.2581980588873877
2025,66363.16320899995,38492.83555699989,36396.29180799998,0.46982008531913577,0.27251123079546885,0.25766868388539543
