year,sample,metric,observations,p01_ramp_mwh_per_h,p05_ramp_mwh_per_h,median_ramp_mwh_per_h,p95_ramp_mwh_per_h,p99_ramp_mwh_per_h,max_up_ramp_mwh_per_h,max_up_ramp_end_datetime,max_down_ramp_mwh_per_h,max_down_ramp_end_datetime,mean_absolute_ramp_mwh_per_h
2023,all_observed,load,8759,-1439.143840000,-1076.103700000,-51.575000000,1205.702500000,1544.276580000,3283.270000000,2023-03-01 19:00:00,-6320.604000000,2023-03-01 16:00:00,560.296098413
2023,all_observed,net_load,8759,-1500.522000000,-1091.312400000,-36.591000000,1267.931900000,1831.622760000,3300.848000000,2023-03-01 19:00:00,-5615.256000000,2023-03-01 16:00:00,563.518308140
2023,regular_operation_screened,load,8735,-1437.751820000,-1074.138200000,-51.853000000,1204.629900000,1535.940220000,2497.955000000,2023-08-27 19:00:00,-2627.905000000,2023-12-17 03:00:00,557.971177104
2023,regular_operation_screened,net_load,8735,-1496.565200000,-1090.463800000,-36.591000000,1263.543600000,1802.727640000,2620.766000000,2023-09-12 19:00:00,-2579.784000000,2023-12-17 03:00:00,561.400886205
2024,all_observed,load,8783,-1483.928000000,-1074.715600000,-46.767000000,1178.876600000,1603.628620000,2332.588000000,2024-08-25 19:00:00,-2222.827000000,2024-07-11 00:00:00,560.909037231
2024,all_observed,net_load,8783,-1548.345020000,-1126.129400000,-36.430000000,1296.945900000,1866.412120000,2680.681000000,2024-09-04 19:00:00,-2239.696000000,2024-05-28 00:00:00,570.492570648
2024,regular_operation_screened,load,8783,-1483.928000000,-1074.715600000,-46.767000000,1178.876600000,1603.628620000,2332.588000000,2024-08-25 19:00:00,-2222.827000000,2024-07-11 00:00:00,560.909037231
2024,regular_operation_screened,net_load,8783,-1548.345020000,-1126.129400000,-36.430000000,1296.945900000,1866.412120000,2680.681000000,2024-09-04 19:00:00,-2239.696000000,2024-05-28 00:00:00,570.492570648
2025,all_observed,load,8759,-1506.942060000,-1083.814300000,-46.486000000,1222.612100000,1656.976680000,2281.263000000,2025-08-10 19:00:00,-2929.946000000,2025-03-08 00:00:00,577.965136317
2025,all_observed,net_load,8759,-1586.316580000,-1144.558500000,-38.291000000,1349.964400000,2025.579980000,2881.107000000,2025-09-03 19:00:00,-2959.153000000,2025-03-08 00:00:00,588.328681242
2025,regular_operation_screened,load,8759,-1506.942060000,-1083.814300000,-46.486000000,1222.612100000,1656.976680000,2281.263000000,2025-08-10 19:00:00,-2929.946000000,2025-03-08 00:00:00,577.965136317
2025,regular_operation_screened,net_load,8759,-1586.316580000,-1144.558500000,-38.291000000,1349.964400000,2025.579980000,2881.107000000,2025-09-03 19:00:00,-2959.153000000,2025-03-08 00:00:00,588.328681242
