edge_id,from_node_id,to_node_id,nominal_voltage_kv,edge_status,corridor_or_project,capacity_mw,flow_mw,circuit_or_asset,operating_condition,congestion_status,source_ids,limitation,directionality,operation_status_2025,capacity_status,flow_status,physical_progress_status
E01,ESP,SCN,500,existing_topology,representative corridor,,,representative corridor,conexión dibujada; condición operativa horaria no observada,NOT_INFERRED,CAM_UNIFILAR_GEOGRAPHIC_PAGE_2026,"topología analítica no exhaustiva; sin escala, capacidad, flujo ni fecha de energización auditada",UNDIRECTED_CONNECTIVITY_ONLY,NOT_VERIFIED,NOT_PUBLICLY_AVAILABLE_IN_USED_SOURCE,NOT_OBSERVED,NOT_APPLICABLE_TO_TOPOLOGY
E02,SCN,PMAD,500,existing_topology,representative corridor,,,representative corridor,conexión dibujada; condición operativa horaria no observada,NOT_INFERRED,CAM_UNIFILAR_GEOGRAPHIC_PAGE_2026,"topología analítica no exhaustiva; sin escala, capacidad, flujo ni fecha de energización auditada",UNDIRECTED_CONNECTIVITY_ONLY,NOT_VERIFIED,NOT_PUBLICLY_AVAILABLE_IN_USED_SOURCE,NOT_OBSERVED,NOT_APPLICABLE_TO_TOPOLOGY
E03,PMAD,CHOC,500,existing_topology,representative corridor,,,representative corridor,conexión dibujada; condición operativa horaria no observada,NOT_INFERRED,CAM_UNIFILAR_GEOGRAPHIC_PAGE_2026,"topología analítica no exhaustiva; sin escala, capacidad, flujo ni fecha de energización auditada",UNDIRECTED_CONNECTIVITY_ONLY,NOT_VERIFIED,NOT_PUBLICLY_AVAILABLE_IN_USED_SOURCE,NOT_OBSERVED,NOT_APPLICABLE_TO_TOPOLOGY
E04,CHOC,BBLA,500,existing_topology,representative corridor,,,representative corridor,conexión dibujada; condición operativa horaria no observada,NOT_INFERRED,CAM_UNIFILAR_GEOGRAPHIC_PAGE_2026,"topología analítica no exhaustiva; sin escala, capacidad, flujo ni fecha de energización auditada",UNDIRECTED_CONNECTIVITY_ONLY,NOT_VERIFIED,NOT_PUBLICLY_AVAILABLE_IN_USED_SOURCE,NOT_OBSERVED,NOT_APPLICABLE_TO_TOPOLOGY
E05,BBLA,OLAV,500,existing_topology,representative corridor,,,representative corridor,conexión dibujada; condición operativa horaria no observada,NOT_INFERRED,CAM_UNIFILAR_GEOGRAPHIC_PAGE_2026,"topología analítica no exhaustiva; sin escala, capacidad, flujo ni fecha de energización auditada",UNDIRECTED_CONNECTIVITY_ONLY,NOT_VERIFIED,NOT_PUBLICLY_AVAILABLE_IN_USED_SOURCE,NOT_OBSERVED,NOT_APPLICABLE_TO_TOPOLOGY
E06,OLAV,ABAS,500,existing_topology,representative corridor,,,representative corridor,conexión dibujada; condición operativa horaria no observada,NOT_INFERRED,CAM_UNIFILAR_GEOGRAPHIC_PAGE_2026,"topología analítica no exhaustiva; sin escala, capacidad, flujo ni fecha de energización auditada",UNDIRECTED_CONNECTIVITY_ONLY,NOT_VERIFIED,NOT_PUBLICLY_AVAILABLE_IN_USED_SOURCE,NOT_OBSERVED,NOT_APPLICABLE_TO_TOPOLOGY
E07,ABAS,EZEI,500,existing_topology,representative corridor,,,representative corridor,conexión dibujada; condición operativa horaria no observada,NOT_INFERRED,CAM_UNIFILAR_GEOGRAPHIC_PAGE_2026,"topología analítica no exhaustiva; sin escala, capacidad, flujo ni fecha de energización auditada",UNDIRECTED_CONNECTIVITY_ONLY,NOT_VERIFIED,NOT_PUBLICLY_AVAILABLE_IN_USED_SOURCE,NOT_OBSERVED,NOT_APPLICABLE_TO_TOPOLOGY
E08,ALIC,PAGU,500,existing_topology,representative corridor,,,representative corridor,conexión dibujada; condición operativa horaria no observada,NOT_INFERRED,CAM_UNIFILAR_GEOGRAPHIC_PAGE_2026,"topología analítica no exhaustiva; sin escala, capacidad, flujo ni fecha de energización auditada",UNDIRECTED_CONNECTIVITY_ONLY,NOT_VERIFIED,NOT_PUBLICLY_AVAILABLE_IN_USED_SOURCE,NOT_OBSERVED,NOT_APPLICABLE_TO_TOPOLOGY
E09,PAGU,ECHO,500,existing_topology,representative corridor,,,representative corridor,conexión dibujada; condición operativa horaria no observada,NOT_INFERRED,CAM_UNIFILAR_GEOGRAPHIC_PAGE_2026,"topología analítica no exhaustiva; sin escala, capacidad, flujo ni fecha de energización auditada",UNDIRECTED_CONNECTIVITY_ONLY,NOT_VERIFIED,NOT_PUBLICLY_AVAILABLE_IN_USED_SOURCE,NOT_OBSERVED,NOT_APPLICABLE_TO_TOPOLOGY
E10,ECHO,CHOC,500,existing_topology,representative corridor,,,representative corridor,conexión dibujada; condición operativa horaria no observada,NOT_INFERRED,CAM_UNIFILAR_GEOGRAPHIC_PAGE_2026,"topología analítica no exhaustiva; sin escala, capacidad, flujo ni fecha de energización auditada",UNDIRECTED_CONNECTIVITY_ONLY,NOT_VERIFIED,NOT_PUBLICLY_AVAILABLE_IN_USED_SOURCE,NOT_OBSERVED,NOT_APPLICABLE_TO_TOPOLOGY
