node_id,node_name,region,nominal_voltage_kv,analytic_role,status_interpretation,coordinate_status,source_ids,as_of_note,operational_interpretation,representation_class
ESP,Esperanza,Patagonia austral,500,estación de transporte,topología representativa,"sin coordenadas: representación topológica, no cartográfica",CAM_UNIFILAR_GEOGRAPHIC_PAGE_2026,página oficial con versión/actualización visible 2026-08-05; posterior a la ventana 2025,NOT_EVALUATED_FROM_TOPOLOGY,ANALYTICAL_NON_EXHAUSTIVE_TOPOLOGY
SCN,Santa Cruz Norte,Patagonia austral,500,estación de transporte,topología representativa,"sin coordenadas: representación topológica, no cartográfica",CAM_UNIFILAR_GEOGRAPHIC_PAGE_2026,página oficial con versión/actualización visible 2026-08-05; posterior a la ventana 2025,NOT_EVALUATED_FROM_TOPOLOGY,ANALYTICAL_NON_EXHAUSTIVE_TOPOLOGY
PMAD,Puerto Madryn,Patagonia,500,estación de transporte,topología representativa,"sin coordenadas: representación topológica, no cartográfica",CAM_UNIFILAR_GEOGRAPHIC_PAGE_2026,página oficial con versión/actualización visible 2026-08-05; posterior a la ventana 2025,NOT_EVALUATED_FROM_TOPOLOGY,ANALYTICAL_NON_EXHAUSTIVE_TOPOLOGY
CHOC,Choele Choel,Patagonia/Comahue,500,estación de transporte,topología representativa,"sin coordenadas: representación topológica, no cartográfica",CAM_UNIFILAR_GEOGRAPHIC_PAGE_2026,página oficial con versión/actualización visible 2026-08-05; posterior a la ventana 2025,NOT_EVALUATED_FROM_TOPOLOGY,ANALYTICAL_NON_EXHAUSTIVE_TOPOLOGY
BBLA,Bahía Blanca,Buenos Aires sur,500,estación de transporte,topología representativa,"sin coordenadas: representación topológica, no cartográfica",CAM_UNIFILAR_GEOGRAPHIC_PAGE_2026,página oficial con versión/actualización visible 2026-08-05; posterior a la ventana 2025,NOT_EVALUATED_FROM_TOPOLOGY,ANALYTICAL_NON_EXHAUSTIVE_TOPOLOGY
OLAV,Olavarría,Buenos Aires centro,500,estación de transporte,topología representativa,"sin coordenadas: representación topológica, no cartográfica",CAM_UNIFILAR_GEOGRAPHIC_PAGE_2026,página oficial con versión/actualización visible 2026-08-05; posterior a la ventana 2025,NOT_EVALUATED_FROM_TOPOLOGY,ANALYTICAL_NON_EXHAUSTIVE_TOPOLOGY
ABAS,Abasto,AMBA,500,estación de transporte/carga,topología representativa,"sin coordenadas: representación topológica, no cartográfica",CAM_UNIFILAR_GEOGRAPHIC_PAGE_2026,página oficial con versión/actualización visible 2026-08-05; posterior a la ventana 2025,NOT_EVALUATED_FROM_TOPOLOGY,ANALYTICAL_NON_EXHAUSTIVE_TOPOLOGY
EZEI,Ezeiza,AMBA,500,estación de transporte/carga,topología representativa,"sin coordenadas: representación topológica, no cartográfica",CAM_UNIFILAR_GEOGRAPHIC_PAGE_2026,página oficial con versión/actualización visible 2026-08-05; posterior a la ventana 2025,NOT_EVALUATED_FROM_TOPOLOGY,ANALYTICAL_NON_EXHAUSTIVE_TOPOLOGY
ALIC,Alicurá,Comahue,500,inyección hidroeléctrica,topología representativa,"sin coordenadas: representación topológica, no cartográfica",CAM_UNIFILAR_GEOGRAPHIC_PAGE_2026,página oficial con versión/actualización visible 2026-08-05; posterior a la ventana 2025,NOT_EVALUATED_FROM_TOPOLOGY,ANALYTICAL_NON_EXHAUSTIVE_TOPOLOGY
PAGU,Piedra del Águila,Comahue,500,inyección hidroeléctrica,topología representativa,"sin coordenadas: representación topológica, no cartográfica",CAM_UNIFILAR_GEOGRAPHIC_PAGE_2026,página oficial con versión/actualización visible 2026-08-05; posterior a la ventana 2025,NOT_EVALUATED_FROM_TOPOLOGY,ANALYTICAL_NON_EXHAUSTIVE_TOPOLOGY
ECHO,El Chocón,Comahue,500,inyección hidroeléctrica,topología representativa,"sin coordenadas: representación topológica, no cartográfica",CAM_UNIFILAR_GEOGRAPHIC_PAGE_2026,página oficial con versión/actualización visible 2026-08-05; posterior a la ventana 2025,NOT_EVALUATED_FROM_TOPOLOGY,ANALYTICAL_NON_EXHAUSTIVE_TOPOLOGY
PBAN,Planicie Banderita,Comahue,500,inyección hidroeléctrica,topología representativa,"sin coordenadas: representación topológica, no cartográfica",CAM_UNIFILAR_GEOGRAPHIC_PAGE_2026,página oficial con versión/actualización visible 2026-08-05; posterior a la ventana 2025,NOT_EVALUATED_FROM_TOPOLOGY,ANALYTICAL_NON_EXHAUSTIVE_TOPOLOGY
AGCA,Agua del Cajón,Comahue,500,estación de transporte,topología representativa,"sin coordenadas: representación topológica, no cartográfica",CAM_UNIFILAR_GEOGRAPHIC_PAGE_2026,página oficial con versión/actualización visible 2026-08-05; posterior a la ventana 2025,NOT_EVALUATED_FROM_TOPOLOGY,ANALYTICAL_NON_EXHAUSTIVE_TOPOLOGY
RDIA,Río Diamante,Cuyo,500,estación de transporte,topología representativa,"sin coordenadas: representación topológica, no cartográfica",CAM_UNIFILAR_GEOGRAPHIC_PAGE_2026,página oficial con versión/actualización visible 2026-08-05; posterior a la ventana 2025,NOT_EVALUATED_FROM_TOPOLOGY,ANALYTICAL_NON_EXHAUSTIVE_TOPOLOGY
GMEN,Gran Mendoza,Cuyo,500,estación de transporte/carga,topología representativa,"sin coordenadas: representación topológica, no cartográfica",CAM_UNIFILAR_GEOGRAPHIC_PAGE_2026,página oficial con versión/actualización visible 2026-08-05; posterior a la ventana 2025,NOT_EVALUATED_FROM_TOPOLOGY,ANALYTICAL_NON_EXHAUSTIVE_TOPOLOGY
CHAR,Charlone,corredor central,500,nodo de proyecto,nodo de proyecto; operación 2025 NO_VERIFICADA,"sin coordenadas: representación topológica, no cartográfica",CAM_UNIFILAR_GEOGRAPHIC_PAGE_2026,página oficial con versión/actualización visible 2026-08-05; posterior a la ventana 2025,NOT_EVALUATED_FROM_TOPOLOGY,ANALYTICAL_NON_EXHAUSTIVE_TOPOLOGY
OHIG,O'Higgins,Buenos Aires,500,nodo de proyecto,nodo de proyecto; operación 2025 NO_VERIFICADA,"sin coordenadas: representación topológica, no cartográfica",CAM_UNIFILAR_GEOGRAPHIC_PAGE_2026,página oficial con versión/actualización visible 2026-08-05; posterior a la ventana 2025,NOT_EVALUATED_FROM_TOPOLOGY,ANALYTICAL_NON_EXHAUSTIVE_TOPOLOGY
