province_key,province,macroregion,Large hydro,Nuclear,Other renewables,Solar,Thermal,Wind,total_capacity_mw,non_fossil_capacity_mw,non_fossil_share,national_capacity_share
buenos aires caba,Buenos Aires + CABA,Buenos Aires + CABA,0.0,1107.0,42.858,40.0,13644.837,1998.9,16833.595,3188.7580000000016,0.18942822373949245,0.37599195839410626
catamarca,Catamarca,NOA,0.0,0.0,0.0,78.1,64.2,0.0,142.3,78.10000000000001,0.5488404778636683,0.0031783855842724812
chaco,Chaco,NEA,0.0,0.0,16.7,310.0,138.7,0.0,465.4,326.7,0.7019767941555651,0.01039508538946179
chubut,Chubut,Patagonia,560.0,0.0,46.8,0.0,492.1,1314.91,2413.8100000000004,1921.7100000000005,0.7961314270800105,0.053914398504376376
cordoba,Córdoba,Centro-Pampeana,802.0,648.0,132.96,54.0,1417.461,282.8,3337.2210000000005,1919.7600000000004,0.5752570776703132,0.07453952999249047
corrientes,Corrientes,NEA,1550.0,0.0,90.0,0.0,54.6,0.0,1694.6,1640.0,0.9677800070813172,0.037850261497597654
entre rios,Entre Ríos,Centro-Pampeana,945.0,0.0,0.0,0.0,31.6,0.0,976.6,945.0,0.9676428425148474,0.02181315081939919
formosa,Formosa,NEA,0.0,0.0,0.0,15.0,60.25,0.0,75.25,15.0,0.19933554817275748,0.0016807696079866774
jujuy,Jujuy,NOA,0.0,0.0,37.6,300.0,106.25999999999999,0.0,443.86,337.6,0.7606001892488623,0.009913972069115836
la pampa,La Pampa,Centro-Pampeana,60.0,0.0,19.9,7.2,24.0,39.6,150.7,126.69999999999999,0.840743198407432,0.0033660063777221565
la rioja,La Rioja,NOA,0.0,0.0,0.0,202.0,127.2,249.55,578.75,451.55,0.7802159827213823,0.01292684931059521
mendoza,Mendoza,Cuyo,772.4,0.0,98.49,779.35,627.556,0.0,2277.796,1650.2399999999998,0.7244898138375868,0.050876415813868724
misiones,Misiones,NEA,0.0,0.0,6.0,0.0,30.0,0.0,36.0,6.0,0.16666666666666666,0.0008040891147843241
neuquen,Neuquén,Patagonia,4664.8,0.0,0.0,3.1,1812.4,100.485,6580.785000000001,4768.385,0.7245921269271066,0.1469871551454433
rio negro,Río Negro,Patagonia,0.0,0.0,26.0,0.0,213.13,113.10000000000001,352.23,139.10000000000002,0.394912415183261,0.00786734191390229
salta,Salta,NOA,100.5,0.0,10.52,295.0,1049.1,0.0,1455.12,406.02,0.27902853372917696,0.03250128201958238
san juan,San Juan,Cuyo,184.68,0.0,98.89999999999999,679.5799999999999,30.0,0.0,993.16,963.16,0.9697933867654759,0.02218303181219998
san luis,San Luis,Cuyo,0.0,0.0,7.3,153.27,0.0,112.5,273.07,273.07,1.0,0.006099239293726538
santa cruz,Santa Cruz,Patagonia,0.0,0.0,0.0,0.0,95.0,345.87,440.87,345.87,0.7845169777939075,0.009847188000971249
santa fe,Santa Fe,Centro-Pampeana,0.0,0.0,11.815,1.0,3277.3250000000003,0.0,3290.1400000000003,12.815000000000055,0.003894971034667234,0.07348793778101378
santiago del estero,Santiago del Estero,NOA,0.0,0.0,19.5,0.0,123.2,8.0,150.7,27.499999999999986,0.18248175182481743,0.0033660063777221565
tucuman,Tucumán,NOA,0.0,0.0,56.6,0.0,1752.6,0.0,1809.1999999999998,56.59999999999991,0.031284545655538315,0.04040994517966108
