province_key,province,macroregion,demand_2023_gwh,demand_2024_gwh,demand_2025_gwh,change_2023_2025_gwh,change_2023_2025_pct,peak_mw,load_factor,demand_share_2025
buenos aires caba,Buenos Aires + CABA,Buenos Aires + CABA,70076.690927,68197.425984,69218.757307,-857.9336199999962,-0.012242781567607386,13779.045,0.5734566237418312,0.49004116520835284
catamarca,Catamarca,NOA,1394.277759,1432.8038460000002,1429.5080189999999,35.23025999999982,0.025267748676754076,282.831,0.5769729871117671,0.010120346024105832
chaco,Chaco,NEA,3269.0774400000005,3367.0104029999998,3304.159888,35.08244799999966,0.010731605061028882,848.091,0.4447485020198116,0.0233921327765079
chubut,Chubut,Patagonia,4367.899668,5179.372099,5066.499742000001,698.6000740000009,0.15993958815447784,841.437,0.6873569268484997,0.035868795304801256
cordoba,Córdoba,Centro-Pampeana,10694.762859,10690.826607,10890.828195,196.06533599999966,0.018332836228809324,2475.12,0.5022969503457312,0.07710271531011814
corrientes,Corrientes,NEA,3023.679531,3101.3348650000003,3122.1565080000005,98.47697700000026,0.032568589359544875,742.135,0.48025030523283857,0.022103621513419408
entre rios,Entre Ríos,Centro-Pampeana,3992.4027340000007,3944.548176,4014.020718,21.617983999999524,0.005414780381722828,971.8240000000001,0.4715067163917386,0.028417664031368924
formosa,Formosa,NEA,1512.8077380000002,1564.0077070000002,1500.2797070000001,-12.528031000000055,-0.008281310760984484,350.439,0.48871503096162194,0.01062138131859204
jujuy,Jujuy,NOA,1158.4459780000002,1151.8175860000001,1114.454304,-43.9916740000001,-0.03797473066111334,237.71900000000002,0.5351730865387457,0.007889891511363418
la pampa,La Pampa,Centro-Pampeana,944.230694,919.119264,942.6470889999999,-1.5836050000000341,-0.0016771378118323188,256.958,0.41877705766175166,0.0066735650255181165
la rioja,La Rioja,NOA,1616.1423060000002,1678.924665,1639.011937,22.8696309999998,0.014150753256749304,366.379,0.5106783393487002,0.011603550116272522
mendoza,Mendoza,Cuyo,6019.193884,6032.055979000001,5871.440622,-147.75326200000018,-0.02454701822992489,1130.933,0.59265737118567,0.04156745535166612
misiones,Misiones,NEA,2674.3142540000003,2751.436909,2661.782361,-12.53189300000031,-0.004686021091670933,546.409,0.5560970516666263,0.018844356363265275
neuquen,Neuquén,Patagonia,2115.440791,2150.000158,2253.10918,137.66838899999993,0.06507787388127362,413.08,0.6226499571323653,0.01595111341008109
rio negro,Río Negro,Patagonia,2081.742978,2096.371074,2095.890156,14.147177999999712,0.006795833178979471,410.281,0.583153660840467,0.014838065491983193
salta,Salta,NOA,2290.276508,2399.0290660000005,2407.0987659999996,116.82225799999969,0.05100792746724525,464.91200000000003,0.5910429590013833,0.017041298196535794
san juan,San Juan,Cuyo,2402.4522340000003,2529.251001,2450.1889610000003,47.73672699999997,0.019870000462202775,578.264,0.48369245913149467,0.017346359572792545
san luis,San Luis,Cuyo,1791.614605,1773.657212,1744.280187,-47.334417999999914,-0.026419977749623125,363.07800000000003,0.548418639543622,0.0123488072964997
santa cruz,Santa Cruz,Patagonia,1178.0618699999998,1153.3998840000002,1286.8907040000001,108.82883400000037,0.09237955728080771,190.512,0.7711080221028036,0.009110672375798096
santa fe,Santa Fe,Centro-Pampeana,12941.001658000001,12642.044175,12760.681016000002,-180.32064199999877,-0.01393405601555786,2808.933,0.5185950487671731,0.09034052671876507
santiago del estero,Santiago del Estero,NOA,1948.252503,2016.3589720000002,2049.52412,101.2716170000001,0.05198074522889495,573.957,0.4076332210239955,0.014509812469370281
tucuman,Tucumán,NOA,3390.769424,3448.605153,3427.6939500000003,36.92452600000024,0.010889718934778303,843.5600000000001,0.4638546916622767,0.02426670461282255
