country,country_es,year,generation_twh,hydro_twh,wind_twh,solar_twh,other_renewables_twh,nuclear_twh,fossil_twh,renewables_share_pct,fossil_share_pct,wind_solar_index_2018_100,wind_solar_2018_twh,population_2025,renewable_mwh_per_capita_2025,fossil_mwh_per_capita_2025,harmonized_frontier,population_source
Argentina,Argentina,2018,146.78,32.2798576,1.4105558,0.110085,1.4195016,6.8706328,104.6893672,23.995,71.324,100.0,1.5206408,45851378,,,OWID adaptation of Ember Yearly Electricity Data 2026,World Bank WDI SP.POP.TOTL; updated 2026-07-13
Argentina,Argentina,2019,139.53,27.4999677,4.9993599,0.7995069,1.4811655,8.4394175,96.3105825,24.927,69.025,381.34362829144135,1.5206408,45851378,,,OWID adaptation of Ember Yearly Electricity Data 2026,World Bank WDI SP.POP.TOTL; updated 2026-07-13
Argentina,Argentina,2020,144.64,23.670336,9.4102784,1.3393664,2.2000192,10.0104896,98.0095104,25.318,67.761,706.9154530116514,1.5206408,45851378,,,OWID adaptation of Ember Yearly Electricity Data 2026,World Bank WDI SP.POP.TOTL; updated 2026-07-13
Argentina,Argentina,2021,153.15,19.6506765,12.9396435,2.2007655,2.2489145,10.170019,105.939981,24.185,69.174,995.6597902673664,1.5206408,45851378,,,OWID adaptation of Ember Yearly Electricity Data 2026,World Bank WDI SP.POP.TOTL; updated 2026-07-13
Argentina,Argentina,2022,145.61,22.7704918,14.1605725,2.9398659,2.3990698,7.470376,95.869624,29.03,65.84,1124.5547534960263,1.5206408,45851378,,,OWID adaptation of Ember Yearly Electricity Data 2026,World Bank WDI SP.POP.TOTL; updated 2026-07-13
Argentina,Argentina,2023,148.56,31.4902632,14.4801432,3.2802048,2.3993888,8.9595088,87.9504912,34.767,59.202,1167.9515635776706,1.5206408,45851378,,,OWID adaptation of Ember Yearly Electricity Data 2026,World Bank WDI SP.POP.TOTL; updated 2026-07-13
Argentina,Argentina,2024,152.51,29.6692954,16.1706353,3.9698353,2.630234,10.4505487,89.6194513,34.385,58.763,1324.4725907656825,1.5206408,45851378,,,OWID adaptation of Ember Yearly Electricity Data 2026,World Bank WDI SP.POP.TOTL; updated 2026-07-13
Argentina,Argentina,2025,153.15,26.24991,18.619977,5.139714,2.950399,10.759589,89.430411,34.58,58.394,1562.478857597402,1.5206408,45851378,1.1550361692510092,1.9504410750752137,OWID adaptation of Ember Yearly Electricity Data 2026,World Bank WDI SP.POP.TOTL; updated 2026-07-13
Brazil,Brasil,2018,601.39,388.9670242,48.4780479,3.4579925,54.3869354,15.6689857,90.4310143,82.358,15.037,100.0,51.9360404,212812405,,,OWID adaptation of Ember Yearly Electricity Data 2026,World Bank WDI SP.POP.TOTL; updated 2026-07-13
Brazil,Brasil,2019,633.33,397.8769059,55.9927053,6.649965,54.9204238,16.1328689,101.7571311,81.386,16.067,120.61502921196896,51.9360404,212812405,,,OWID adaptation of Ember Yearly Electricity Data 2026,World Bank WDI SP.POP.TOTL; updated 2026-07-13
Brazil,Brasil,2020,628.76,396.3828792,57.0473948,10.751796,58.73793,14.0473276,91.7926724,83.167,14.599,130.54362688765931,51.9360404,212812405,,,OWID adaptation of Ember Yearly Electricity Data 2026,World Bank WDI SP.POP.TOTL; updated 2026-07-13
Brazil,Brasil,2021,656.4,362.818536,72.289332,16.751328,56.010804,14.703168,133.826832,77.372,20.388,171.44291192441386,51.9360404,212812405,,,OWID adaptation of Ember Yearly Electricity Data 2026,World Bank WDI SP.POP.TOTL; updated 2026-07-13
Brazil,Brasil,2022,677.16,427.1118984,81.631638,30.1268484,55.0196152,14.5585748,68.7114252,87.703,10.147,215.1848418540586,51.9360404,212812405,,,OWID adaptation of Ember Yearly Electricity Data 2026,World Bank WDI SP.POP.TOTL; updated 2026-07-13
Brazil,Brasil,2023,708.12,425.9979108,95.8015548,50.63058,57.7599544,14.4966104,63.4333896,88.995,8.958,281.9470519358268,51.9360404,212812405,,,OWID adaptation of Ember Yearly Electricity Data 2026,World Bank WDI SP.POP.TOTL; updated 2026-07-13
Brazil,Brasil,2024,745.72,413.2109092,108.4873456,71.3206608,58.2410844,15.7790828,78.6809172,87.333,10.551,346.21046389974697,51.9360404,212812405,,,OWID adaptation of Ember Yearly Electricity Data 2026,World Bank WDI SP.POP.TOTL; updated 2026-07-13
Brazil,Brasil,2025,750.53,388.6319393,117.5780298,88.637593,55.1224379,15.8701948,84.6898052,86.601,11.284,397.05688229555517,51.9360404,212812405,3.054192259140157,0.3979552094249392,OWID adaptation of Ember Yearly Electricity Data 2026,World Bank WDI SP.POP.TOTL; updated 2026-07-13
Chile,Chile,2018,81.76,22.9001584,3.5802704,5.1198112,5.89976,0.0,44.2599584,45.866,54.134,100.0,8.7000816,19859921,,,OWID adaptation of Ember Yearly Electricity Data 2026,World Bank WDI SP.POP.TOTL; updated 2026-07-13
Chile,Chile,2019,83.98,22.0296336,4.8901554,6.3001796,5.5900314,0.0,45.1703226,46.213,53.787,128.62333383171946,8.7000816,19859921,,,OWID adaptation of Ember Yearly Electricity Data 2026,World Bank WDI SP.POP.TOTL; updated 2026-07-13
Chile,Chile,2020,83.58,21.9297204,5.549712,7.5297222,5.4808454,0.0,43.089669,48.445,51.555,150.33691408135758,8.7000816,19859921,,,OWID adaptation of Ember Yearly Electricity Data 2026,World Bank WDI SP.POP.TOTL; updated 2026-07-13
