year,wind_mw_december,solar_mw_december,biomass_mw_december,biogas_mw_december,small_hydro_mw_december,renewables_total_mw_december
2012,109.14999999999999,6.2,0.0,0.0,381.2900000000001,496.6400000000001
2013,162.15000000000003,8.2,0.0,0.0,381.2900000000001,551.6400000000001
2014,187.35000000000002,8.2,0.0,17.0,381.2900000000001,593.8400000000001
2015,187.40000000000003,8.2,0.0,16.6,438.64000000000004,650.84
2016,187.35,8.2,0.0,16.6,488.24,700.39
2017,226.65,8.2,0.0,21.515,496.44,752.8050000000001
2018,750.2499999999999,190.63,0.0,22.715,497.94,1461.5349999999999
2019,1608.5500000000004,439.22999999999996,2.0,43.675,497.94,2591.3950000000004
2020,2623.095,758.9600000000002,53.6,54.574999999999996,509.58,3999.8099999999995
2021,3291.315,1060.23,70.3,68.97499999999998,511.09,5001.91
2022,3309.315,1085.83,70.3,72.595,524.3100000000001,5062.35
2023,3705.414999999999,1365.94,73.3,78.133,524.31,5747.097999999998
2024,4319.414999999999,1672.93,73.3,82.333,524.31,6672.287999999999
2025,4495.614999999999,2463.83,113.3,82.333,522.91,7677.9879999999985
