year,Resto/legado,Renovar 202 (etiqueta CAMMESA),RenovAr,MATER y variantes,RenMDI,Otra etiqueta CAMMESA,total_renewable_gwh
2012,1973.7389600000001,0.0,0.0,0.0,0.0,0,1973.7389600000001
2013,1978.474592,0.0,0.0,0.0,0.0,0,1978.474592
2014,2301.185132,0.0,0.0,0.0,0.0,0,2301.185132
2015,2510.00659,0.0,0.0,0.0,0.0,0,2510.00659
2016,2631.839751,0.0,0.0,0.0,0.0,0,2631.839751
2017,2598.085403,0.0,19.65464,17.010695,0.0,0,2634.750738
2018,2305.0129460000003,70.35035200000002,717.575162,257.749608,0.0,0,3350.6880680000004
2019,2392.904711,571.857827,3311.790151,1535.777639,0.0,0,7812.330328
2020,2273.924392,1291.4157480000001,6069.868738,3101.745293,0.0,0,12736.954171000001
2021,2266.44063,1923.325529,9376.444163,3870.488207,0.0,0,17436.698528999998
2022,2090.067523,1990.096513,11130.946541,4129.121297,0.0,0,19340.231873999997
2023,2227.98948,1995.023261,10934.007779,4928.913762,0.0,0,20085.934282000002
2024,2546.235115,1956.08638,10931.411030000001,7442.886045,0.0,0,22876.618570000002
2025,2393.970134,2029.924119,11343.594331,10741.236083,150.64397200000002,0,26659.368639000004
