year,wind_gwh,solar_gwh,biomass_gwh,biogas_gwh,small_hydro_gwh,renewables_total_gwh
2012,348.937023,8.082433000000002,127.08936500000002,36.250446000000004,1453.3624839999998,1973.7217509999998
2013,446.983981,15.021982,133.884737,108.550752,1274.0476019999999,1978.489054
2014,613.281155,15.748637,112.42374200000002,103.04712300000001,1456.72338,2301.224037
2015,592.950963,14.670648000000002,194.98382500000002,83.602837,1623.794715,2510.002988
2016,546.770473,14.263319,193.216935,57.510292000000014,1820.078732,2631.839751
2017,615.8177550000001,16.405158,242.599611,64.053648,1695.8745660000002,2634.750738
2018,1412.7427230000003,108.11652799999999,251.70165400000002,145.30763700000003,1432.359396,3350.2279380000004
2019,4995.966424,799.684913,299.15840499999996,255.52821200000002,1461.7997950000001,7812.137749
2020,9410.639299999997,1344.3488,420.9565000000001,304.1439000000001,1257.0722999999991,12737.160799999998
2021,12937.550226999998,2195.563410000001,750.1871060000007,377.97172400000005,1175.426062,17436.698529
2022,14164.457685999985,2928.2914279999995,769.1423230000003,417.8478290000002,1060.4926079999996,19340.231873999986
2023,14475.425426000007,3259.4615330000015,732.080177,435.6079219999998,1183.359224,20085.93428200001
2024,16164.50718199999,3941.316083000003,747.3930660000002,511.77669500000013,1511.6255439999995,22876.61856999999
2025,18631.836030000002,5105.964035,1029.5824440000006,521.7774119999999,1374.087809999999,26663.247731000003
