analytic_edge_id,from_node,to_node,nominal_voltage_kv,analytic_status,official_line_candidates,candidate_count,crosswalk_status,flow_inference,note
E01,Esperanza,Santa Cruz Norte,500,existing_topology,RIO SANTA CRUZ - ESPERANZA PAT 500 1,1,NAME_CANDIDATE_ONLY,PROHIBITED,La geometría oficial se usa como infraestructura; el unifilar CAMMESA valida conectividad representativa
E02,Santa Cruz Norte,Puerto Madryn,500,existing_topology,N.P.MADRYN - SANTA CRUZ NORTE 500 1 | CHUBUT NORTE - N.P.MADRYN 132 1 | PUERTO MADRYN - CHUBUT NORTE 132 1,3,NAME_CANDIDATE_ONLY,PROHIBITED,La geometría oficial se usa como infraestructura; el unifilar CAMMESA valida conectividad representativa
E03,Puerto Madryn,Choele Choel,500,existing_topology,CHOELE CHOEL - N.P.MADRYN 500 1,1,NAME_CANDIDATE_ONLY,PROHIBITED,La geometría oficial se usa como infraestructura; el unifilar CAMMESA valida conectividad representativa
E04,Choele Choel,Bahía Blanca,500,existing_topology,CHOELE CHOEL B.BLANCA 500 1,1,NAME_CANDIDATE_ONLY,PROHIBITED,La geometría oficial se usa como infraestructura; el unifilar CAMMESA valida conectividad representativa
E05,Bahía Blanca,Olavarría,500,existing_topology,B.BLANCA OLAVARRIA 500 2 | B.BLANCA OLAVARRIA 500 1,2,NAME_CANDIDATE_ONLY,PROHIBITED,La geometría oficial se usa como infraestructura; el unifilar CAMMESA valida conectividad representativa
E06,Olavarría,Abasto,500,existing_topology,OLAVARRIA ABASTO 500 1 | OLAVARRIA - ABASTO 500 2,2,NAME_CANDIDATE_ONLY,PROHIBITED,La geometría oficial se usa como infraestructura; el unifilar CAMMESA valida conectividad representativa
E07,Abasto,Ezeiza,500,existing_topology,ABASTO EZEIZA 500 1 | ABASTO EZEIZA 500 2,2,NAME_CANDIDATE_ONLY,PROHIBITED,La geometría oficial se usa como infraestructura; el unifilar CAMMESA valida conectividad representativa
E08,Alicurá,Piedra del Águila,500,existing_topology,ALICURA ET.P.AGUILA 500 2 | ALICURA ET.P.AGUILA 500 1,2,NAME_CANDIDATE_ONLY,PROHIBITED,La geometría oficial se usa como infraestructura; el unifilar CAMMESA valida conectividad representativa
E09,Piedra del Águila,El Chocón,500,existing_topology,ET.P.AGUILA - CHOCON OESTE 500 2 | ET.P.AGUILA - CHOCON OESTE 500 1,2,NAME_CANDIDATE_ONLY,PROHIBITED,La geometría oficial se usa como infraestructura; el unifilar CAMMESA valida conectividad representativa
E10,El Chocón,Choele Choel,500,existing_topology,CHOCON OESTE - CHOELE CHOEL 500 1,1,NAME_CANDIDATE_ONLY,PROHIBITED,La geometría oficial se usa como infraestructura; el unifilar CAMMESA valida conectividad representativa
E11,Planicie Banderita,Agua del Cajón,500,existing_topology,,0,NO_AUTOMATIC_MATCH,PROHIBITED,La geometría oficial se usa como infraestructura; el unifilar CAMMESA valida conectividad representativa
E12,Agua del Cajón,El Chocón,500,existing_topology,AGUA CAJON CHOCON OESTE 500 1 | A.CAJON - CHOCON OESTE 132 1,2,NAME_CANDIDATE_ONLY,PROHIBITED,La geometría oficial se usa como infraestructura; el unifilar CAMMESA valida conectividad representativa
E13,Río Diamante,Agua del Cajón,500,existing_topology,A.CAJON  RIO DIAMANTE  500 1,1,NAME_CANDIDATE_ONLY,PROHIBITED,La geometría oficial se usa como infraestructura; el unifilar CAMMESA valida conectividad representativa
E14,Gran Mendoza,Río Diamante,500,existing_topology,RIO DIAMANTE  GRAN MZA  500 1,1,NAME_CANDIDATE_ONLY,PROHIBITED,La geometría oficial se usa como infraestructura; el unifilar CAMMESA valida conectividad representativa
P01A,Puerto Madryn,Choele Choel,500,planned_reinforcement,CHOELE CHOEL - N.P.MADRYN 500 1,1,NAME_CANDIDATE_ONLY,PROHIBITED,La geometría oficial se usa como infraestructura; el unifilar CAMMESA valida conectividad representativa
P01B,Choele Choel,Bahía Blanca,500,planned_reinforcement,CHOELE CHOEL B.BLANCA 500 1,1,NAME_CANDIDATE_ONLY,PROHIBITED,La geometría oficial se usa como infraestructura; el unifilar CAMMESA valida conectividad representativa
P02A,Río Diamante,Charlone,500,planned,,0,NO_AUTOMATIC_MATCH,PROHIBITED,La geometría oficial se usa como infraestructura; el unifilar CAMMESA valida conectividad representativa
P02B,Charlone,O'Higgins,500,planned,,0,NO_AUTOMATIC_MATCH,PROHIBITED,La geometría oficial se usa como infraestructura; el unifilar CAMMESA valida conectividad representativa
