gid,name,full_name,technology_label,fun,ppc,original_source,longitude,latitude
1076,Cabrería,Central Térmica Cabrería,Central Térmica,6.000000000000000,7.000000000000000,IGN/Secretaría de Gobierno de Energía,-66.25706113199993,-22.078913231999934
1077,Timón Cruz,Central Solar Timón Cruz,Central Solar,6.000000000000000,3.000000000000000,IGN/Secretaría de Gobierno de Energía,-66.15682328599996,-22.19027078299996
1078,Orosmayo,Central Solar Orosmayo,Central Solar,6.000000000000000,3.000000000000000,IGN/Secretaría de Gobierno de Energía,-66.35610799999995,-22.557280999999932
1079,Libertador General San Martín,Central Térmica Libertador General San Martín,Central Térmica,6.000000000000000,7.000000000000000,IGN/Secretaría de Gobierno de Energía,-64.78457613799998,-23.822165756999937
1080,Agua Chica,Central Térmica Agua Chica,Central Térmica,6.000000000000000,7.000000000000000,IGN/Secretaría de Gobierno de Energía,-65.75791991599993,-22.864112357999943
1082,Misa Rumi,Central Térmica Misa Rumi,Central Térmica,6.000000000000000,7.000000000000000,IGN/Secretaría de Gobierno de Energía,-66.36781496799995,-22.25997746799993
1083,Misa Rumi,Central Eólica Misa Rumi,Central Eólica,6.000000000000000,5.000000000000000,IGN/Secretaría de Gobierno de Energía,-66.36732977699995,-22.260285909999936
1084,Cusi Cusi,Pequeño Aprovechamiento Hidroeléctrico Cusi Cusi,Pequeño Aprovechamiento Hidroeléctrico,6.000000000000000,1.000000000000000,IGN/Secretaría de Gobierno de Energía,-66.51473169599996,-22.332648077999977
1085,La Ciénaga,Pequeño Aprovechamiento Hidroeléctrico La Ciénaga,Pequeño Aprovechamiento Hidroeléctrico,6.000000000000000,1.000000000000000,IGN/Secretaría de Gobierno de Energía,-65.27508063899995,-24.43384856299997
1086,Las Maderas,Central Hidroeléctrica Las Maderas,Central Hidroeléctrica,6.000000000000000,1.000000000000000,IGN/Secretaría de Gobierno de Energía,-65.21967320799996,-24.44420594199994
1087,Pampichuela,Pequeño Aprovechamiento Hidroeléctrico Pampichuela,Pequeño Aprovechamiento Hidroeléctrico,6.000000000000000,1.000000000000000,IGN/Secretaría de Gobierno de Energía,-65.01003153499994,-23.55401881599994
1088,,,,6.000000000000000,7.000000000000000,IGN/Esri World Imagery,-65.68611845699996,-23.211547606999943
1089,San José de Pozo Colorado,Central Solar San José de Pozo Colorado,Central Solar,6.000000000000000,3.000000000000000,IGN/Secretaría de Gobierno de Energía,-65.81887233799995,-23.552647217999947
1090,Nazareno,Central Térmica Nazareno,Central Térmica,6.000000000000000,7.000000000000000,IGN/Secretaría de Gobierno de Energía,-65.11666599999995,-22.499721999999963
1091,Caspalá,Central Térmica Caspalá,Central Térmica,6.000000000000000,7.000000000000000,IGN/Secretaría de Gobierno de Energía,-65.08869392099996,-23.36342201499997
1100,Ingenio Ledesma,Central Eléctrica Ingenio Ledesma,Central Eléctrica,6.000000000000000,7.000000000000000,IGN/Esri World Imagery,-64.81212932699998,-23.828507978999937
1101,El Moreno,Central Térmica El Moreno,Central Térmica,6.000000000000000,7.000000000000000,IGN/Secretaría de Gobierno de Energía,-65.83262875999998,-23.854661781999937
1102,Iruya,Central Térmica Iruya,Central Térmica,6.000000000000000,7.000000000000000,IGN/Secretaría de Gobierno de Energía,-65.21802467499998,-22.797870152999963
1108,"Ciénega de Paicone","Central Hidroeléctrica Ciénega de Paicone",Central Hidroeléctrica,6.000000000000000,1.000000000000000,IGN/Secretaría de Gobierno de Energía,-66.41391099999998,-22.177085999999974
1109,Valle Grande,Pequeño Aprovechamiento Hidroeléctrico Valle Grande,Pequeño Aprovechamiento Hidroeléctrico,6.000000000000000,1.000000000000000,IGN/Secretaría de Gobierno de Energía,-64.94960399999997,-23.47612399999997
1110,San Francisco,Pequeño Aprovechamiento Hidroeléctrico San Francisco,Pequeño Aprovechamiento Hidroeléctrico,6.000000000000000,1.000000000000000,IGN/Secretaría de Gobierno de Energía,-64.95178603099998,-23.622233191999953
1111,Río Reyes,Pequeño Aprovechamiento Hidroeléctrico Río Reyes,Pequeño Aprovechamiento Hidroeléctrico,6.000000000000000,1.000000000000000,IGN/Secretaría de Gobierno de Energía,-65.49160668799993,-24.169443573999956
1112,Casa Colorada,Central Térmica Casa Colorada,Central Térmica,6.000000000000000,7.000000000000000,IGN/Secretaría de Gobierno de Energía,-66.28376899999995,-22.326588999999956
1113,Ciénega de Paicone,Central Térmica Ciénega de Paicone,Central Térmica,6.000000000000000,7.000000000000000,IGN/Secretaría de Gobierno de Energía,-66.43662199999994,-22.182803999999976
1114,Ciénega de Paicone,Central Solar Ciénega de Paicone,Central Solar,6.000000000000000,3.000000000000000,IGN/Secretaría de Gobierno de Energía,-66.43662199999994,-22.182803999999976
1115,Misa Rumi,Central Solar Misa Rumi,Central Solar,6.000000000000000,3.000000000000000,IGN/Secretaría de Gobierno de Energía,-66.36763940399999,-22.26011753399996
1116,Paicone,Central Térmica Paicone,Central Térmica,6.000000000000000,7.000000000000000,IGN/Secretaría de Gobierno de Energía,-66.42572499999994,-22.21945599999998
1117,San Francisco,Central Solar San Francisco,Central Solar,6.000000000000000,3.000000000000000,IGN/Secretaría de Gobierno de Energía,-66.17362817799994,-22.00125845699995
1118,San Juan y Oros,Central Solar San Juan y Oros,Central Solar,6.000000000000000,3.000000000000000,IGN/Secretaría de Gobierno de Energía,-66.24889899999994,-22.225247999999965
1119,Piedra Negra,Central Térmica Piedra Negra,Central Térmica,6.000000000000000,7.000000000000000,IGN/Secretaría de Gobierno de Energía,-65.63013799999999,-22.20060799999993
1120,La Quiaca,Central Térmica La Quiaca,Central Térmica,6.000000000000000,7.000000000000000,IGN/Secretaría de Gobierno de Energía,-65.59391399999998,-22.10651299999995
1121,Liviara,Central Térmica Liviara,Central Térmica,6.000000000000000,7.000000000000000,IGN/Secretaría de Gobierno de Energía,-66.33822499999997,-22.52078599999993
1122,Santo Domingo,Central Térmica Santo Domingo,Central Térmica,6.000000000000000,7.000000000000000,IGN/Secretaría de Gobierno de Energía,-66.22296899999998,-22.54287599999998
1123,Coyaguaima,Central Solar Coyaguaima,Central Solar,6.000000000000000,3.000000000000000,IGN/Secretaría de Gobierno de Energía,-66.43993999999998,-22.769145999999978
1124,Nueva Pirquitas,Central Térmica Nueva Pirquitas,Central Térmica,6.000000000000000,7.000000000000000,IGN/Secretaría de Gobierno de Energía,-66.45646899999997,-22.686382999999978
1125,El Toro,Central Térmica El Toro,Central Térmica,6.000000000000000,7.000000000000000,IGN/Secretaría de Gobierno de Energía,-66.70134699999994,-23.08358599999997
1126,Jama,Central Térmica Jama,Central Térmica,6.000000000000000,7.000000000000000,IGN/Secretaría de Gobierno de Energía,-67.01973836699995,-23.240149093999946
1127,Coranzulí,Central Térmica Coranzulí,Central Térmica,6.000000000000000,7.000000000000000,IGN/Secretaría de Gobierno de Energía,-66.36636299999998,-23.015920999999935
1128,Olaroz Chico,Central Térmica Olaroz Chico,Central Térmica,6.000000000000000,7.000000000000000,IGN/Secretaría de Gobierno de Energía,-66.80281099999996,-23.393505999999945
1129,Cobres,Central Térmica Cobres,Central Térmica,6.000000000000000,7.000000000000000,IGN/Secretaría de Gobierno de Energía,-66.28363313099999,-23.651020251999967
1130,Susques,Central Térmica Susques,Central Térmica,6.000000000000000,7.000000000000000,IGN/Secretaría de Gobierno de Energía,-66.36708806099995,-23.39928236399993
1131,Abdón Castro Tolay,Central Térmica Abdón Castro Tolay,Central Térmica,6.000000000000000,7.000000000000000,IGN/Secretaría de Gobierno de Energía,-66.09045599999996,-23.34219399999995
1132,Huancar,Central Térmica Huancar,Central Térmica,6.000000000000000,7.000000000000000,IGN/Secretaría de Gobierno de Energía,-66.40968299999997,-23.564828999999975
1133,Santa Ana,Central Solar Santa Ana,Central Solar,6.000000000000000,3.000000000000000,IGN/Secretaría de Gobierno de Energía,-64.98930809899997,-23.354504477999967
1134,Catua,Central Térmica Catua,Central Térmica,6.000000000000000,7.000000000000000,IGN/Secretaría de Gobierno de Energía,-67.00509899999997,-23.87110999999993
1135,Pastos Chicos,Central Térmica Pastos Chicos,Central Térmica,6.000000000000000,7.000000000000000,IGN/Secretaría de Gobierno de Energía,-66.43895799999996,-23.765630999999928
1136,Sey,Central Térmica Sey,Central Térmica,6.000000000000000,7.000000000000000,IGN/Secretaría de Gobierno de Energía,-66.48826099999997,-23.94643899999994
1137,Olacapato,Central Térmica Olacapato,Central Térmica,6.000000000000000,7.000000000000000,IGN/Secretaría de Gobierno de Energía,-66.71923170599996,-24.139481952999972
1146,El Angosto,Central Térmica El Angosto,Central Térmica,6.000000000000000,7.000000000000000,IGN/Secretaría de Gobierno de Energía,-66.18559355299993,-21.87612734299995
1148,San Sebastián,Central Eléctrica San Sebastián,Central Eléctrica,6.000000000000000,7.000000000000000,IGN/Secretaría de Gobierno de Energía,-68.15301126399999,-53.36509228999995
