nombre,id,propiedad,concesion,potencia_instalada_mv,fecha_puesta_servicio,tension_entrada,tension_salida,geojson,geom,longitude,latitude
RIO TURBIO,RT,CENTRAL TÉRMICA RÍO TURBIO,TRANSPA S.A,400.0,,220,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-72.232,-51.544]]}",0104000020E6100000010000000101000000022B8716D90E52C01283C0CAA1C549C0,-72.232,-51.544
EL CALAFATE,CE,SPSE TI,TRANSPA S.A,30.0,2013-01-01,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-72.191,-50.326]]}",0104000020E61000000100000001010000004E621058390C52C07D3F355EBA2949C0,-72.191,-50.326
FUTALEUFU,FU,TRANSPA S.A,TRANSPA S.A,30.0,1978-01-01,330,132 | 330,"{""type"":""MultiPoint"",""coordinates"":[[-71.629,-43.133]]}",0104000020E6100000010000000101000000C74B378941E851C01B2FDD24069145C0,-71.629,-43.133
ESQUEL,ES,TRANSPA S.A,TRANSPA S.A,15.0,1999-01-01,132,13.2 | 33 | 132,"{""type"":""MultiPoint"",""coordinates"":[[-71.398,-43.0007]]}",0104000020E6100000010000000101000000B6F3FDD478D951C0B98D06F0168045C0,-71.398,-43.0007
EL COIHUE,EC,TRANSACUE,TRANSPA S.A,15.0,2007-01-01,132,33,"{""type"":""MultiPoint"",""coordinates"":[[-71.33,-42.1715]]}",0104000020E610000001000000010100000085EB51B81ED551C0CBA145B6F31545C0,-71.33,-42.1715
ALICURA,AL,TRANSENER S.A,TRANSENER S.A,150.0,1984-01-01,500,132,"{""type"":""MultiPoint"",""coordinates"":[[-70.7485342668878,-40.5804856250225]]}",0104000020E6100000010000000101000000FC0D45FCE7AF51C088A25B5A4D4A44C0,-70.7485342668878,-40.5804856250225
LA ESPERANZA,ESP,CATE,TRANSENER S.A,400.0,2013-06-15,500,132 | 220,"{""type"":""MultiPoint"",""coordinates"":[[-70.714508495251,-51.04258133367]]}",0104000020E61000000100000001010000004CF4D681BAAD51C030C41D4E738549C0,-70.714508495251,-51.04258133367
SAN JOSE,SJ,TRANSPA S.A,TRANSPA S.A,0.0,2009-01-01,132,132,"{""type"":""MultiPoint"",""coordinates"":[[-70.2928,-46.668]]}",0104000020E61000000100000001010000003411363CBD9251C02FDD2406815547C0,-70.2928,-46.668
ORO PLATA,OP,TRANSPA S.A,TRANSPA S.A,0.0,2015-01-01,132,132,"{""type"":""MultiPoint"",""coordinates"":[[-70.2209065605928,-46.8720663630635]]}",0104000020E6100000010000000101000000F24D4555238E51C050A6DEDE9F6F47C0,-70.2209065605928,-46.8720663630635
PIEDRA DEL AGUILA,PG,TRANSENER S.A,TRANSENER S.A,0.0,1993-01-01,500,500,"{""type"":""MultiPoint"",""coordinates"":[[-70.0446731483315,-40.1629203523983]]}",0104000020E6100000010000000101000000F4C5C3ECDB8251C0A0B3F892DA1444C0,-70.0446731483315,-40.1629203523983
