nombre,id,tension,fases,seccion,material,fecha_puesta_servicio,propiedad,concesion,geojson
ESPERANZA PAT - RIO TURBIO 220 1,,220,,730 mm2,,2007-11-01,TRANSPORTEL PATAG. S.A.,TRANSPORTEL PATAG. S.A.,"{""type"":""MultiLineString"",""coordinates"":[[[-72.232715928611,-51.5444193019494],[-72.2270859301174,-51.5419074604587],[-72.1722888925222,-51.2712274742447],[-72.1199374589069,-51.2062057832719],[-71.8192236432157,-51.1259367183163],[-71.2936399922033,-51.0090245488855],[-71.0306834189514,-51.0528461938251],[-70.9530278281858,-51.0657632109044],[-70.8803727760061,-51.0592098761283],[-70.7876062334955,-51.0508610903553],[-70.7195200456755,-51.0476038799727],[-70.7185011098712,-51.0449330889661]]]}"
ESPERANZA PAT - EL CALAFATE 132 1,,132,,185 mm2,,2007-11-01,SPSE LA ESPERANZA-CALAFATE,SPSE LA ESPERANZA-CALAFATE,"{""type"":""MultiLineString"",""coordinates"":[[[-70.7171806642774,-51.0426469892121],[-70.7177923238751,-51.0414932470435],[-70.7432781404458,-51.0342496537077],[-70.780079659574,-51.0224523527625],[-70.9585823188356,-50.9981430144765],[-71.0055781645921,-50.9386308499666],[-71.0416660808563,-50.8928053137595],[-71.0773462240553,-50.8471921098536],[-71.1217934881548,-50.7907733790804],[-71.1556386525607,-50.7476405580436],[-71.1759253625511,-50.7215094330319],[-71.2151735200701,-50.7015625470712],[-71.2550333371867,-50.681348795114],[-71.2576838621101,-50.681284200478],[-71.3003980906827,-50.6595107440186],[-71.3759380509984,-50.6214314005086],[-71.3823604767743,-50.6181974377427],[-71.4764541115535,-50.5843568576494],[-71.6078589817923,-50.5368873238315],[-71.6098468754849,-50.5362393870315],[-71.6283495783153,-50.5259684002148],[-71.6530708203889,-50.516408217654],[-71.6792192681905,-50.5023723066098],[-71.7506814978549,-50.4745150425499],[-71.7832013997992,-50.4617321766377],[-71.809044017802,-50.4526782602552],[-71.8334084584436,-50.4299547122568],[-71.9237811640035,-50.3568408306209],[-71.9296429018148,-50.3519950859395],[-71.9449853633904,-50.3388537996196],[-71.9635390378539,-50.322601067832],[-71.9899423438212,-50.319135051637],[-72.0091076778824,-50.3150015376082],[-72.0511337894076,-50.312544041995],[-72.1048578907388,-50.3214783015285],[-72.1303309644013,-50.3257088768173],[-72.1358868724137,-50.326416647834],[-72.1588241073274,-50.3178006493857],[-72.189975191205,-50.325864863091],[-72.1904615628729,-50.3260342900866]]]}"
FUTALEUFU P.MADRYN 330 2,,330,,644 mm2,,1993-01-01,TRANSPA S.A.,TRANSPA S.A.,"{""type"":""MultiLineString"",""coordinates"":[[[-65.10238065721,-42.7086971902195],[-65.1026102913289,-42.7086766011604],[-65.1036849494668,-42.7083611986453],[-65.1063615762914,-42.7078894389384],[-65.1689782135363,-42.7352224322225],[-66.4498461639314,-42.9824126582492],[-66.7204012872222,-43.0956553118023],[-67.0761746938057,-43.0948606873807],[-67.3185076779927,-43.1381069788013],[-67.392626765582,-43.1510926786074],[-67.4136489731273,-43.1548141640606],[-67.4902010097729,-43.1699490057139],[-67.7398813583834,-43.2193142186307],[-68.0707265202046,-43.2227590409988],[-68.3789123964161,-43.1937200751254],[-68.5425226052723,-43.1207233146869],[-68.8059546622836,-43.1546812289363],[-68.9471889859668,-43.1367940070082],[-69.139735635913,-43.0942565533097],[-69.2014010411745,-43.085504958206],[-69.2382542572476,-43.0853019767217],[-69.2955834033973,-43.0862899351881],[-69.6040092341939,-43.0933044570013],[-69.7402284606653,-43.1268976530135],[-69.8105329688294,-43.1294386093976],[-69.8968314957497,-43.1324950910489],[-69.9342733504823,-43.1275410553673],[-69.9720752496603,-43.122368570722],[-69.9831409192695,-43.1209246903499],[-69.9858821254261,-43.1206875597434],[-70.03405603616,-43.1178344159812],[-70.0529197455567,-43.1141136831646],[-70.1580592000629,-43.0935370477318],[-70.2011827461829,-43.0850347890888],[-70.4590386681164,-43.0679754444925],[-70.7020998911524,-43.0797174324324],[-70.7082950862453,-43.0786539736421],[-70.7132019927181,-43.0779094578639],[-70.717654149489,-43.0772029393093],[-70.7617511212149,-43.0702807037423],[-70.7735933013787,-43.0702452523977],[-70.7895371901185,-43.0702999658471],[-70.8002899436752,-43.0703175776854],[-70.8090348915429,-43.070379478402],[-71.0087128343541,-43.070788940138],[-71.0742813111106,-43.0937447314468],[-71.1204767177013,-43.117248735415],[-71.1600567479003,-43.1373781794347],[-71.2800432723885,-43.1088639991163],[-71.3101570947472,-43.1182627196104],[-71.3558232820678,-43.1326667839397],[-71.3651584989579,-43.1309675781151],[-71.378057231894,-43.1284675734092],[-71.4022027353865,-43.1239720633834],[-71.4202576472076,-43.1206412405119],[-71.4472685377659,-43.1155535793289],[-71.4860141652497,-43.1082233546719],[-71.5105839173276,-43.1158668823016],[-71.5358167827777,-43.1237352855824],[-71.5496999501713,-43.1340991706675],[-71.5912585966255,-43.1348381368143],[-71.6227158584282,-43.1304925066721],[-71.6247915049753,-43.1313108676765],[-71.6281491893616,-43.1327787056499],[-71.6283886967468,-43.1331321893693],[-71.6285180958382,-43.1332300028085]]]}"
FUTALEUFU P.MADRYN 330 1,,330,,644 mm2,,1993-01-01,TRANSPA S.A.,TRANSPA S.A.,"{""type"":""MultiLineString"",""coordinates"":[[[-71.6283152602192,-43.1333758386978],[-71.6281951367699,-43.133284768947],[-71.6278334917836,-43.1330784279906],[-71.6223451985762,-43.1311355972868],[-71.610314545122,-43.1328639197036],[-71.605309950514,-43.1335537567502],[-71.5888565550589,-43.1358206377635],[-71.568698034277,-43.1353693502425],[-71.5496322818803,-43.1348758297626],[-71.5464435818655,-43.1324621186375],[-71.542832487787,-43.129765821826],[-71.5361378595567,-43.1247912967637],[-71.532603211733,-43.1237298510619],[-71.5139370623554,-43.11809349288],[-71.5065955396645,-43.1158639315126],[-71.5028495768603,-43.1147455727854],[-71.4884926444106,-43.1104246397366],[-71.484902690601,-43.1093644467601],[-71.47049506001,-43.1126819147611],[-71.4623586061591,-43.1146900173185],[-71.4473652152043,-43.1179706770295],[-71.4281993375345,-43.1223658788472],[-71.4170324989017,-43.1249123038451],[-71.3896807679649,-43.131179169116],[-71.3786206121798,-43.1336735456329],[-71.3711519630619,-43.1353360130877],[-71.3661408213884,-43.1364732324493],[-71.3592173338355,-43.1343811319707],[-71.3534957247526,-43.132598336189],[-71.3423819476301,-43.1292208349778],[-71.3359014094099,-43.1281486616017],[-71.3326564927205,-43.1261329060602],[-71.3194332061718,-43.1220472429978],[-71.3087554480114,-43.1187234815831],[-71.2874405071389,-43.1122090273238],[-71.2825813806488,-43.1106675400688],[-71.2805446579345,-43.1100161671499],[-71.2595391291793,-43.1150141837284],[-71.2357413068513,-43.1207279713861],[-71.2180282132335,-43.1248936420639],[-71.2009156398676,-43.1289439502695],[-71.1861584212834,-43.1324515636319],[-71.1654107659412,-43.1373773791786],[-71.1602764892531,-43.1386052454543],[-71.1532457576962,-43.1349492963098],[-71.1454961755247,-43.1310929129511],[-71.1113042021146,-43.1137116427496],[-71.1052854398697,-43.1106452350071],[-71.0857378924865,-43.100713909755],[-71.0734551492783,-43.094529409093],[-71.0624119619241,-43.0906073162696],[-71.0421196775488,-43.0835340917],[-71.0186661914374,-43.0752737831101],[-71.0083444413072,-43.071699160131],[-70.9361723001073,-43.0715400559891],[-70.7812037839662,-43.0711949584593],[-70.7690544864408,-43.0711284278012],[-70.7618061437709,-43.071145082131],[-70.7458676857979,-43.0736474926068],[-70.7019566842244,-43.0806958911486],[-70.4592153595594,-43.068834162958],[-70.2014048051681,-43.0859441812041],[-70.0342651850894,-43.1189505055533],[-69.9828153865549,-43.1218642945546],[-69.9593946404278,-43.125040542891],[-69.8962080769061,-43.13360980701],[-69.8094815554516,-43.1304314807239],[-69.8046740365849,-43.130220362527],[-69.7559117291909,-43.1284203322036],[-69.7400834011528,-43.127793134381],[-69.7072954722734,-43.1197951216533],[-69.6977447612212,-43.1174480889121],[-69.66778859886,-43.11003100016],[-69.6358976133628,-43.1021964294802],[-69.603864090704,-43.0942489855001],[-69.5874028151943,-43.0937190382757],[-69.5473284579751,-43.0924476905567],[-69.5280602629463,-43.0918133584067],[-69.5018489620143,-43.0908961339913],[-69.4505782916018,-43.0892884359013],[-69.4245492203707,-43.0889699859324],[-69.3694177509002,-43.0881578845171],[-69.3495963704857,-43.0878420677637],[-69.3412891947424,-43.0868950304452],[-69.3186381332791,-43.0876989173585],[-69.2973874854819,-43.0872454535489],[-69.2632552179872,-43.086688637526],[-69.2325678062834,-43.0863104015027],[-69.2059348308342,-43.0858512652195],[-69.1880598760489,-43.0882029033707],[-69.1500173837451,-43.0934414190147],[-69.0933729102411,-43.1054229084428],[-68.9907378057705,-43.1282125387743],[-68.9474156757327,-43.1377524104418],[-68.9156849268447,-43.1418187470427],[-68.8619045687222,-43.1485720144767],[-68.8043009244686,-43.1558682537497],[-68.7737908548284,-43.1517840191954],[-68.7557759822636,-43.1494078487554],[-68.7252711734084,-43.1454078975823],[-68.6373991767526,-43.1340033646492],[-68.631462614927,-43.1332141892719],[-68.6054501788784,-43.1298153767613],[-68.5958479724633,-43.1285957311934],[-68.5669652414303,-43.1249100032973],[-68.5459404550587,-43.1217959886394],[-68.542713267015,-43.1213888459875],[-68.516810366227,-43.1332946707961],[-68.4869226023181,-43.1468909349774],[-68.4487663280241,-43.163806388694],[-68.3989099563978,-43.1860493016775],[-68.3793226595916,-43.1947329647814],[-68.3569520880026,-43.1968536855455],[-68.0797065018386,-43.2229061409118],[-68.0706979588073,-43.223687783917],[-68.0401875689769,-43.2233600397325],[-67.7396613205276,-43.2202474458196],[-67.4945900323458,-43.1718188263296],[-67.3963112320283,-43.1527476781899],[-67.0760519771548,-43.0958119658033],[-66.7730048913287,-43.096504942281],[-66.720076756293,-43.0966350865635],[-66.4495633386495,-42.9833415454288],[-65.8121949923738,-42.8623640416144],[-65.1684784589317,-42.7361276237354],[-65.105912526345,-42.7087693809911],[-65.1038641768863,-42.7089496753302],[-65.1026785998633,-42.7088778248089],[-65.1024602293956,-42.708905732263]]]}"
FUTALEUFU ESQUEL 132 1,,132,,185 mm2,,1999-02-19,TRANSPA S.A.,TRANSPA S.A.,"{""type"":""MultiLineString"",""coordinates"":[[[-71.3978023367166,-43.0008728504313],[-71.3977940580896,-43.0013078378863],[-71.4261757330389,-43.0262338696227],[-71.4431187500756,-43.0387178998421],[-71.4546776213812,-43.0501772772907],[-71.4706744883012,-43.0508190714711],[-71.4735922170802,-43.0570258588148],[-71.4796240218411,-43.0712454916131],[-71.4835274214255,-43.0890252357185],[-71.4824412580629,-43.0925450379464],[-71.504949529026,-43.1090994005586],[-71.520479604158,-43.118569595775],[-71.5223690758409,-43.122302413099],[-71.5511184623453,-43.1434479910121],[-71.5633987143868,-43.136101600209],[-71.5654931555974,-43.1361911176658],[-71.5669025561919,-43.1374391318575],[-71.5675810839652,-43.1389264099608],[-71.5701036927877,-43.1397659998724],[-71.5735482020599,-43.1385532395671],[-71.574973714281,-43.1380770932463],[-71.5769947412258,-43.1377217136972],[-71.5783042561052,-43.1370684584843],[-71.5803339021406,-43.1357977515109],[-71.5816138352831,-43.1353815133051],[-71.5828036366498,-43.1349316662782],[-71.5834106303593,-43.1346138888575],[-71.5849198565646,-43.1333509430437],[-71.5864600019453,-43.1327585567333],[-71.5879749575256,-43.1326499372551],[-71.5895176933534,-43.1323038661221],[-71.5912631379949,-43.1324516242167],[-71.5974086138925,-43.1360569242778],[-71.5990264092431,-43.136248898656],[-71.6014026308984,-43.1358197776879],[-71.6028876031844,-43.1352438669078],[-71.6061896848936,-43.1345667689881],[-71.6104104052556,-43.1346031806894],[-71.6115617837747,-43.1344570864345],[-71.6126950048338,-43.1340242354743],[-71.6153706533292,-43.1339344048262],[-71.6170138674668,-43.1336072228546],[-71.6193635596465,-43.1328011676754],[-71.6211171011359,-43.1326252635628],[-71.6234840963798,-43.1325747432203],[-71.6274674025137,-43.133398354149],[-71.6275444805128,-43.1334546028603]]]}"
ESQUEL EL COIHUE 132,,132,,150 mm2,,2003-07-01,TRANSP.INDEP.LAGO MUSTERS-CRIV,TRANSP.INDEP.LAGO MUSTERS-CRIV,"{""type"":""MultiLineString"",""coordinates"":[[[-71.3300389612453,-42.1713668420889],[-71.32973630635,-42.1710985084124],[-71.3237595793051,-42.1716561380571],[-71.315669925094,-42.172498862256],[-71.3101938514741,-42.1730690573339],[-71.3061094246626,-42.1700628974554],[-71.3040502399543,-42.1688553620535],[-71.3033374452476,-42.1681048336487],[-71.3015045445731,-42.1675849092989],[-71.2983167682459,-42.1660670412047],[-71.2958361295245,-42.1657609473714],[-71.2940258572534,-42.164901360873],[-71.2816481206002,-42.1608590511965],[-71.2800075613546,-42.1607416358525],[-71.1782759168234,-42.2089390817051],[-71.1679856503827,-42.2424100141805],[-71.1633072279823,-42.2547256976634],[-71.1540918107025,-42.2656407177726],[-71.1440447995983,-42.3092986374421],[-71.142098756907,-42.3095663840564],[-71.1149446728415,-42.340366374094],[-71.1130438869569,-42.3418716904724],[-71.1066853056049,-42.3499830524565],[-71.1062553659405,-42.3554011937083],[-71.1121868361785,-42.3702673274886],[-71.1167096883057,-42.3724970486525],[-71.1126026330908,-42.3774201264277],[-71.1113241282994,-42.3782559246525],[-71.1105547625842,-42.3857943226132],[-71.109378085608,-42.4031440324729],[-71.1056783416541,-42.4136668305484],[-71.0934024328162,-42.4832939286985],[-71.0951221914736,-42.5284391648475],[-71.0921578706298,-42.5344713510478],[-71.0679681074081,-42.5708522076233],[-71.0670177144658,-42.5768761303619],[-71.070819286235,-42.5973347923503],[-71.071707451068,-42.6083901702118],[-71.0757975349804,-42.6163213511937],[-71.0720072774129,-42.6225989661819],[-71.0635301117937,-42.626744842257],[-71.063204828495,-42.6285096696785],[-71.0779698617056,-42.6452563890845],[-71.0745982296008,-42.6606008160023],[-71.0632727137051,-42.6661085749285],[-71.0565736086317,-42.6673633770046],[-71.0521734818434,-42.6680137133485],[-71.0404632830901,-42.6683132058255],[-71.034478070394,-42.6727555072879],[-71.0291717097995,-42.681231602529],[-71.0266260144184,-42.6825623858882],[-71.0191020702919,-42.6840262146419],[-71.0125398333094,-42.690504906132],[-71.0084667206996,-42.6975982565744],[-71.0107748178452,-42.7020384646053],[-71.0284702292945,-42.7109802793226],[-71.0318079187942,-42.7114167366161],[-71.0416555170936,-42.7116661393987],[-71.0526720138555,-42.7142380471772],[-71.0604102206766,-42.723698633054],[-71.0794852700365,-42.7323948812188],[-71.0836951331567,-42.7348114352405],[-71.0958972142897,-42.7416162805211],[-71.0981543975276,-42.7480224943791],[-71.1069964461514,-42.7648450005267],[-71.1104020208613,-42.7659289609309],[-71.1130099443518,-42.7653433754621],[-71.1238319782721,-42.7823355623324],[-71.1221065625137,-42.7955872277319],[-71.1200091728932,-42.8046018627442],[-71.118908088917,-42.8093127510393],[-71.1169359723396,-42.8177998191241],[-71.1168185790247,-42.8201196538379],[-71.117426343747,-42.8356325570981],[-71.1174281401133,-42.84147699172],[-71.1225704447832,-42.847574251225],[-71.1391514073657,-42.8790029168564],[-71.1383876987513,-42.8804745447038],[-71.1462850115337,-42.8951951093217],[-71.1549516900313,-42.9012622006923],[-71.1645235046644,-42.9159798755841],[-71.1840744451915,-42.9213406777427],[-71.2041910958034,-42.9203381520311],[-71.2168347161964,-42.9207979902368],[-71.2341567589899,-42.9228402931544],[-71.245205076944,-42.9269744029862],[-71.2520614831705,-42.9282212093045],[-71.2542227248742,-42.928840961879],[-71.2586308218622,-42.9302402059402],[-71.2608752462901,-42.9307603082582],[-71.2692251271403,-42.9369895628965],[-71.2756770506562,-42.9388884488639],[-71.2794678507031,-42.9389395904932],[-71.2823156585002,-42.9388263270262],[-71.286094601866,-42.9404973828908],[-71.2907965729328,-42.9421105031506],[-71.2934431758662,-42.9433175750039],[-71.2951572774228,-42.9428289165997],[-71.3052948021406,-42.943880769705],[-71.3192616097386,-42.9504387896505],[-71.324099005356,-42.9530940690342],[-71.3258696779211,-42.9548537558495],[-71.3279232055285,-42.958294315722],[-71.3390903226005,-42.9626661576245],[-71.3591956590106,-42.9737972198406],[-71.3974263465345,-43.0009561703605],[-71.3977148586777,-43.0008320518869]]]}"
PILCANIYEU - BARILOCHE 132 1,,132,,185 mm2,,1993-01-01,EDERSA PAFTT,EDERSA PAFTT,"{""type"":""MultiLineString"",""coordinates"":[[[-70.865115442207,-41.1926522574834],[-70.8650746132634,-41.1930754391184],[-70.8649674155784,-41.1942030863278],[-70.8665956474005,-41.1946884898675],[-70.8730368432377,-41.1967170378246],[-70.8963363629831,-41.2023600016817],[-70.9115952352601,-41.2060414025716],[-70.9206016310775,-41.2124542494637],[-70.934340115904,-41.2221761197356],[-70.9508208176748,-41.2258984343549],[-70.9532290465798,-41.2264349648594],[-70.9582364594487,-41.2271778274881],[-70.9684250041193,-41.2280671961299],[-70.9729064966038,-41.2293095064546],[-70.9795183251629,-41.2327238787033],[-70.9992727205584,-41.2429163399308],[-71.0098049831214,-41.2483736195675],[-71.0140333567467,-41.2459733663025],[-71.0219777018889,-41.2415964076286],[-71.0352235830618,-41.2341058850467],[-71.0378061333955,-41.2333610122709],[-71.0486476498908,-41.2300288820613],[-71.0535687132984,-41.2285060907994],[-71.0635502563712,-41.2254198459057],[-71.0850665956611,-41.2188190167617],[-71.0870404395003,-41.2181837976184],[-71.0884914591786,-41.2164341178752],[-71.0899495307356,-41.2146380941076],[-71.0915745408316,-41.2125999966481],[-71.0930206935743,-41.2107717895931],[-71.0941488922381,-41.20945518254],[-71.0971101707802,-41.2056960762518],[-71.0984927571856,-41.2040041978186],[-71.105439826782,-41.1982963563887],[-71.1125798319737,-41.1924293357401],[-71.1151674213045,-41.1917372026316],[-71.1251057139293,-41.1890819249307],[-71.1390280947552,-41.1853635642102],[-71.1517516949711,-41.1819174366923],[-71.17802019119,-41.1749124144135],[-71.2051213202356,-41.1676251356992],[-71.2227944249918,-41.1634270657271],[-71.2345999854724,-41.1614754733308],[-71.2390756616339,-41.1607234294934],[-71.2439830202162,-41.1599477999476],[-71.2491186232147,-41.1587496726288],[-71.2502453730638,-41.1586498811806],[-71.2514088757959,-41.1589609135943]]]}"
PAMPA TRILL - CHOS MALAL 132 1,,132,,150 mm2,,1993-01-01,EPEN PRESTADOR FTT,EPEN PRESTADOR FTT,"{""type"":""MultiLineString"",""coordinates"":[[[-70.2613723632976,-37.3751110466477],[-70.260809125663,-37.3754382975904],[-70.2585033166402,-37.3761426977347],[-70.2565996477195,-37.3767262188443],[-70.2540979791892,-37.376954381552],[-70.2516900637033,-37.3771682584896],[-70.2488816789987,-37.3764060997791],[-70.2445222616687,-37.3752294758422],[-70.2392109043131,-37.3737802345866],[-70.2344194009462,-37.372458062772],[-70.2316955958653,-37.3717324781163],[-70.2266171686734,-37.3703384081298],[-70.2247609255981,-37.3687025337187],[-70.2193837264196,-37.3639853514155],[-70.2140458562657,-37.3593082441198],[-70.2104908456937,-37.3562297528002],[-70.2085997069726,-37.3545990095896],[-70.2051429360921,-37.3515774113942],[-70.2017392831513,-37.349826794983],[-70.1984483953211,-37.3481467715856],[-70.190536102902,-37.3484721591847],[-70.1849610279951,-37.3487274610943],[-70.1768771498483,-37.3490718261455],[-70.1685687616894,-37.3494149394505],[-70.1604660794526,-37.3497568176372],[-70.157695639018,-37.3498436744743],[-70.1490219525631,-37.3534964877287],[-70.146872446562,-37.3543845663203],[-70.1443129143262,-37.3550547228893],[-70.1341259132482,-37.3577029664434],[-70.1215973598277,-37.3609547577422],[-70.1119064191476,-37.3633934315327],[-70.1070953486145,-37.3645993472494],[-70.0973268033855,-37.3668389715082],[-70.0896748188338,-37.3685985634705],[-70.0877092868931,-37.3690469477711],[-70.0843875970327,-37.3724057028322],[-70.0798161792393,-37.377002522175],[-70.0766472591051,-37.3784511896629],[-70.0720626395353,-37.3805719421778],[-70.0660651688299,-37.3833074747781],[-70.0615972959135,-37.3853746090713],[-70.0583536946998,-37.3896054602597],[-70.0527805698185,-37.3968925498133],[-70.04223250842,-37.3942205675776],[-70.0348252493652,-37.3922997891617],[-70.0324501848275,-37.3847947439974],[-70.0311958599124,-37.3808529712569],[-70.0298317951135,-37.376491768152],[-70.0267433445289,-37.3665782521498],[-70.0212794094301,-37.3605789445487],[-70.0135800771169,-37.3521696022077],[-70.0049120615146,-37.3463491180483],[-69.9847466594257,-37.3327183015784],[-69.9716673652617,-37.3238489847476],[-69.9640394999361,-37.3224785173015],[-69.934076221313,-37.3170655525352],[-69.9190524476071,-37.3143466301067],[-69.9081865982294,-37.3095366487752],[-69.9007411304458,-37.3062174073522],[-69.8941866628837,-37.3020419063152],[-69.8898387713897,-37.2992544673655],[-69.8828355324621,-37.2976348719356],[-69.8719079125036,-37.29509790199],[-69.8660954188989,-37.2935809431026],[-69.8635154660435,-37.2945370232008],[-69.855786395353,-37.2993099169992],[-69.8469711908531,-37.3047646736853],[-69.8424398979948,-37.3075738394454],[-69.8420156168782,-37.3078204428666]]]}"
AIKE - ORO PLATA 132 1,,132,,240 mm2,,2014-11-01,TRANSPA S.A.,TRANSPA S.A.,"{""type"":""MultiLineString"",""coordinates"":[[[-69.982539,-46.7673899],[-69.9921635968626,-46.7716802390811],[-69.9998348276504,-46.7848661963383],[-70.0074423438968,-46.7952006469199],[-70.0225681760324,-46.8002362820248],[-70.0341259938471,-46.8047720938124],[-70.0472002177479,-46.8098744249746],[-70.0572416294767,-46.8137902448782],[-70.0705452257265,-46.8189702010578],[-70.0843330524912,-46.8243937954425],[-70.0973053331257,-46.8294158000671],[-70.1060724540259,-46.8328245671113],[-70.112150821278,-46.8352131906284],[-70.122064803924,-46.8390487142893],[-70.1358271448721,-46.8444267033888],[-70.1426573437131,-46.8470937073591],[-70.1488503971397,-46.8494904116834],[-70.1519978954862,-46.8515297049675],[-70.1558143965177,-46.8546015711113],[-70.157260716608,-46.8557387706072],[-70.1618672779532,-46.8569979404206],[-70.1998538875517,-46.865637053194],[-70.2055818248259,-46.866965688997],[-70.2109402177599,-46.8686776204142],[-70.2146420326168,-46.8699147073523],[-70.22093702931,-46.8720947858829]],[[-69.6176575,-46.6133503],[-69.6194209,-46.6173851],[-69.6214409,-46.6209083],[-69.6225757,-46.6229192],[-69.6241872,-46.6257405],[-69.625776,-46.6285618],[-69.6272966,-46.6311179],[-69.6286358,-46.6335648],[-69.6301564,-46.6361986],[-69.631541,-46.6387076],[-69.6331978,-46.6415593],[-69.6346504,-46.6440836],[-69.636103,-46.6466702],[-69.6376237,-46.6493657],[-69.639099,-46.6518585],[-69.640597,-46.654507],[-69.642095,-46.6572021],[-69.6435703,-46.6597257],[-69.6450421,-46.6622899],[-69.6465364,-46.6648931],[-69.6480855,-46.6675915],[-69.6494007,-46.6698825],[-69.6507167,-46.6722832],[-69.652097,-46.6746398],[-69.6533167,-46.6769302],[-69.6565332,-46.6787129],[-69.658748,-46.6799792],[-69.6835689,-46.6827799],[-69.689203,-46.6833926],[-69.6916098,-46.6836543],[-69.6938403,-46.683936],[-69.701592,-46.6848058],[-69.7036141,-46.685048],[-69.7081079,-46.6855434],[-69.710772,-46.6858407],[-69.7143028,-46.686215],[-69.7207224,-46.6869306],[-69.7251038,-46.6874371],[-69.729068,-46.6878334],[-69.7330802,-46.6883398],[-69.7366592,-46.6887912],[-69.740864,-46.6892095],[-69.7445874,-46.6896169],[-69.7489688,-46.6901343],[-69.7531095,-46.6906297],[-69.7563835,-46.6909709],[-69.7599464,-46.6913672],[-69.764071,-46.6918516],[-69.7682919,-46.692292],[-69.7718387,-46.6927103],[-69.7756744,-46.6931726],[-69.7794781,-46.6935909],[-69.783699,-46.6940422],[-69.7880162,-46.6945046],[-69.7908729,-46.6948238],[-69.7944198,-46.6952201],[-69.7986407,-46.6956494],[-69.8019468,-46.6960457],[-69.8059269,-46.696486],[-69.8102602,-46.6969593],[-69.8146565,-46.6974202],[-69.8178824,-46.6977945],[-69.8233964,-46.6983756],[-69.8272803,-46.6988159],[-69.8311642,-46.6992562],[-69.8348234,-46.6997405],[-69.8390924,-46.7001808],[-69.8426874,-46.700577],[-69.8468923,-46.7010173],[-69.8502947,-46.7014135],[-69.853665,-46.7018097],[-69.8578698,-46.7021619],[-69.8597957,-46.7037468],[-69.8627166,-46.7061461],[-69.8653808,-46.7083251],[-69.8676919,-46.7101299],[-69.8700671,-46.7121107],[-69.8722177,-46.7137833],[-69.8744325,-46.715742],[-69.8767114,-46.7175025],[-69.8792151,-46.7196591],[-69.8813978,-46.7215956],[-69.8841903,-46.723774],[-69.8869507,-46.7260623],[-69.8895507,-46.7281746],[-69.8921185,-46.7301987],[-69.8946222,-46.7323548],[-69.8974468,-46.7345328],[-69.9000468,-46.7355667],[-69.9038343,-46.7370626],[-69.9072367,-46.7384265],[-69.9105108,-46.7397464],[-69.9137206,-46.7410222],[-69.9170588,-46.74232],[-69.9203328,-46.7436177],[-69.9233821,-46.7448495],[-69.9264635,-46.7459712],[-69.9298338,-46.7472689],[-69.9328511,-46.7484126],[-69.9361251,-46.7497762],[-69.938725,-46.7508099],[-69.9422237,-46.7509198],[-69.9456903,-46.7510738],[-69.9487717,-46.7523933],[-69.9516606,-46.7537568],[-69.9548704,-46.7550763],[-69.9583049,-46.7565717],[-69.9612258,-46.757935],[-69.9638899,-46.7590565],[-69.9664899,-46.7603099],[-69.9699565,-46.7618051],[-69.9734552,-46.7633663],[-69.9759909,-46.7645316],[-69.9793291,-46.7659607],[-69.982539,-46.7673899]]]}"
CMO.RIVADAVIA  CMO.RIVADAVIA A,,132,,300 mm2,,1993-01-01,TRANSPA S.A.,TRANSPA S.A.,"{""type"":""MultiLineString"",""coordinates"":[[[-67.4450508570983,-45.8115604809777],[-67.4442852600061,-45.8117917231201],[-67.4434558631561,-45.8132858799727],[-67.4436376924655,-45.8141040917389]]]}"
