input_id,filename,sha256,bytes,role,status,integrity_or_limit
BASELINE_V083,argentina_electricity_transition_v0.8.3(3).zip,dc5f5348f5f82f78ec252cbc607703543f7186702bea790c6606c329e30749dc,84190072,baseline científico canónico,VERIFIED_USED,801 ZIP entries; internal manifest PASS
AUTHOR_LETTER,Carta a IA(2).odt,829f571e4f50bd213354f756eff3aa99d1661c1c02e1a053bfd8d027bfa95d7f,13458,carta literal,VERIFIED_USED,ODT integrity PASS
AUTHOR_LETTER_WRONG,Carta a IA (1).odt,cf261262d353a791d9b2f57edd48cd93e179a6be60f0457677a97d5579fd17f4,13211,copia no autorizada,IGNORED_HASH_MISMATCH,not used
ALMAMDI,1 - AlmaMDI NODOS 30-01-2024(1).zip,0b83a7fa3a1916c550289ca0adb7af59d0257d8361a797bc0b3ffcc591e33f9a,62156,nodos y coordenadas,VERIFIED_USED_WITH_LIMITS,411 rows; 408 coordinates; categories not interpreted
CAM_GEOSADI,GEOSADI2026_08(1).pdf,506f2392268044c2ada2c440fe9d3eee6f778757933d66f372e39c6c0b666c65,1587266,topología e infraestructura visible,VERIFIED_USED,2026-08
CAM_500_330,Red de 500 y 330 kV-A4(1).pdf,970921536b9922ff731d74c973dd7fcd04f6c0e240caef2dc818602ba31ac678,212905,validación red troncal,VERIFIED_USED,2026-08
CAM_GBA,UNIFILAR-GBA (A3)(1).pdf,533c7028330b37b9e7426d3b298dc56edd7cb9d94d204aa8ee317c21a4887ba1,702641,topología regional,VERIFIED_USED,2026-08
CAM_BAS,UNIFILAR-BAS (A3)(1).pdf,093eadc5247c6579aed7647cdf93c83a4b37401c34b006280d8ac07c40f15d95,321947,topología regional,VERIFIED_USED,2026-08
CAM_CUY,UNIFILAR-CUY (A3)(1).pdf,c87e111b701f26e71de50534d01359eae8bb4ca7a58eec4d67e629d139863c9c,274447,topología regional,VERIFIED_USED,2026-08
CAM_COM,UNIFILAR-COM (A3)(1).pdf,0d3e05aacc05034612af00ba0fc97b3555e5309d34f5b01b8051dad9b6b1694f,274591,topología regional,VERIFIED_USED,2026-08
CAM_PAT,UNIFILAR-PAT (A3)(1).pdf,70526a03a099ad9cdec571d83fa30e6dd5dd4be3ae557bf2e27fa5f82d661eba,275626,topología regional,VERIFIED_USED,2026-08
V090_PDF,PANORAMA_ELECTRICIDAD_ARGENTINA_2025_v0.9.0_REVISION_EDITORIAL.pdf,16edca8f924a4102dbbaa624b739ab5493a000ab587c25f1a68d68ad749f053e,2364679,referencia visual opcional,VISUAL_REFERENCE_ONLY,no scientific authority
V090_ZIP,argentina_electricity_transition_v0.9.0.zip,1a3ef5478f6f5554de4fffe197def693effdf1323c447760bf661e4f39cb9bee,25281905,fuentes visuales y tipografías,FONTS_ONLY,scientific contents not used
MASTER_PROMPT,PROMPT_MAESTRO_TGCP_v0.10.0_REESCRITURA_INTEGRAL_Y_EXPANSION_ESTRATEGICA(1).md,13b53787cd2fdf82e78b7adbe4119635b68d231c3113c7c17fc10f3786bb2769,67503,contrato de ejecución,VERIFIED_USED,binding instruction
