figure_id,cited_in_text,how_to_read_present,pattern_explained,meaning_explained,strategic_relevance_explained,limit_explained,numeric_parity,visual_legibility,status
F01,YES,YES,YES,YES,YES,YES,PASS,PASS,PASS
F02,YES,YES,YES,YES,YES,YES,PASS,PASS,PASS
F03,YES,YES,YES,YES,YES,YES,PASS,PASS,PASS
F04,YES,YES,YES,YES,YES,YES,PASS,PASS,PASS
F05,YES,YES,YES,YES,YES,YES,PASS,PASS,PASS
F06,YES,YES,YES,YES,YES,YES,PASS,PASS,PASS
F07,YES,YES,YES,YES,YES,YES,PASS,PASS,PASS
F08,YES,YES,YES,YES,YES,YES,PASS,PASS,PASS
F09,YES,YES,YES,YES,YES,YES,PASS,PASS,PASS
F10,YES,YES,YES,YES,YES,YES,PASS,PASS,PASS
F11,YES,YES,YES,YES,YES,YES,PASS,PASS,PASS
F12,YES,YES,YES,YES,YES,YES,PASS,PASS,PASS
F13,YES,YES,YES,YES,YES,YES,PASS,PASS,PASS
F14,YES,YES,YES,YES,YES,YES,PASS,PASS,PASS
F15,YES,YES,YES,YES,YES,YES,PASS,PASS,PASS
F16,YES,YES,YES,YES,YES,YES,PASS,PASS,PASS
F17,YES,YES,YES,YES,YES,YES,PASS,PASS,PASS
M01,YES,YES,YES,YES,YES,YES,PASS,PASS,PASS
M02,YES,YES,YES,YES,YES,YES,PASS,PASS,PASS
M03,YES,YES,YES,YES,YES,YES,PASS,PASS,PASS
M04,YES,YES,YES,YES,YES,YES,PASS,PASS,PASS
F22,YES,YES,YES,YES,YES,YES,PASS,PASS,PASS
F23,YES,YES,YES,YES,YES,YES,PASS,PASS,PASS
F24,YES,YES,YES,YES,YES,YES,PASS,PASS,PASS
F25,YES,YES,YES,YES,YES,YES,PASS,PASS,PASS
F26,YES,YES,YES,YES,YES,YES,PASS,PASS,PASS
F27,YES,YES,YES,YES,YES,YES,PASS,PASS,PASS
F28,YES,YES,YES,YES,YES,YES,PASS,PASS,PASS
