metric_id,value,lineage,source_table,change_classification,definition
renewables_change_twh,23.313019793,INHERITED_UNCHANGED_V070,reports/source/canonical_metrics_v070.csv,INHERITED_UNCHANGED,Definición heredada no afectada por las correcciones dirigidas
thermal_change_twh,-12.502347644000082,INHERITED_UNCHANGED_V070,reports/source/canonical_metrics_v070.csv,INHERITED_UNCHANGED,Definición heredada no afectada por las correcciones dirigidas
hydro_change_twh,-9.807497234000005,INHERITED_UNCHANGED_V070,reports/source/canonical_metrics_v070.csv,INHERITED_UNCHANGED,Definición heredada no afectada por las correcciones dirigidas
nuclear_change_twh,4.307656680999999,INHERITED_UNCHANGED_V070,reports/source/canonical_metrics_v070.csv,INHERITED_UNCHANGED,Definición heredada no afectada por las correcciones dirigidas
imports_change_twh,3.960253224,INHERITED_UNCHANGED_V070,reports/source/canonical_metrics_v070.csv,INHERITED_UNCHANGED,Definición heredada no afectada por las correcciones dirigidas
supply_change_twh,9.27108481999997,INHERITED_UNCHANGED_V070,reports/source/canonical_metrics_v070.csv,INHERITED_UNCHANGED,Definición heredada no afectada por las correcciones dirigidas
local_generation_2018_twh,137.481834561,INHERITED_UNCHANGED_V070,reports/source/canonical_metrics_v070.csv,INHERITED_UNCHANGED,Definición heredada no afectada por las correcciones dirigidas
local_generation_2025_twh,142.79266615699993,INHERITED_UNCHANGED_V070,reports/source/canonical_metrics_v070.csv,INHERITED_UNCHANGED,Definición heredada no afectada por las correcciones dirigidas
renewable_coverage_2025,0.1887632945465868,INHERITED_UNCHANGED_V070,reports/source/canonical_metrics_v070.csv,INHERITED_UNCHANGED,Definición heredada no afectada por las correcciones dirigidas
demand_change_pct,0.0619680537082905,INHERITED_UNCHANGED_V070,reports/source/canonical_metrics_v070.csv,INHERITED_UNCHANGED,Definición heredada no afectada por las correcciones dirigidas
peak_change_pct,0.1495820668693008,INHERITED_UNCHANGED_V070,reports/source/canonical_metrics_v070.csv,INHERITED_UNCHANGED,Definición heredada no afectada por las correcciones dirigidas
load_factor_change_pp,-4.4251471794556245,INHERITED_UNCHANGED_V070,reports/source/canonical_metrics_v070.csv,INHERITED_UNCHANGED,Definición heredada no afectada por las correcciones dirigidas
residential_share_change_pp,4.115277111642213,INHERITED_UNCHANGED_V070,reports/source/canonical_metrics_v070.csv,INHERITED_UNCHANGED,Definición heredada no afectada por las correcciones dirigidas
demand_2025_twh,141.2522905739998,INHERITED_UNCHANGED_V070,reports/source/canonical_metrics_v070.csv,INHERITED_UNCHANGED,Definición heredada no afectada por las correcciones dirigidas
peak_2025_gw,30.257,INHERITED_UNCHANGED_V070,reports/source/canonical_metrics_v070.csv,INHERITED_UNCHANGED,Definición heredada no afectada por las correcciones dirigidas
imports_2025_twh,4.303789364999999,INHERITED_UNCHANGED_V070,reports/source/canonical_metrics_v070.csv,INHERITED_UNCHANGED,Definición heredada no afectada por las correcciones dirigidas
imports_2025_share,0.0292582805596992,INHERITED_UNCHANGED_V070,reports/source/canonical_metrics_v070.csv,INHERITED_UNCHANGED,Definición heredada no afectada por las correcciones dirigidas
yacyreta_change_twh,-5.971338189000002,INHERITED_UNCHANGED_V070,reports/source/canonical_metrics_v070.csv,INHERITED_UNCHANGED,Definición heredada no afectada por las correcciones dirigidas
