source_id,issuer,title,url,access_date,vintage,local_artifact,sha256,role,status,limitation
SE_LINES,Secretaría de Energía,Transporte eléctrico AT - Líneas,https://datos.gob.ar/dataset/energia-transporte-electrico-at-lineas,2026-08-18,2025-12 CSV / 2026-06 SHP,network/raw_official/transporte_lineas.zip,1aa0e1cf22bb1d80be4961193ad01da57ca757ae474c53a2a5ca42fb0ef433e3,geometry and voltage,PASS,no flows capacity margins or operating status
SE_STATIONS,Secretaría de Energía,Estaciones transformadoras,https://datos.gob.ar/dataset/energia,2026-08-18,2026-08,network/raw_official/estaciones.zip,8c03dc65a1eb9a76045dc10872707d1a554a637676b7e7179bad4237f9fbb9b1,station cross-check,PASS,attributes do not provide hourly state
SE_PLANTS,Secretaría de Energía,Centrales de generación,https://datos.gob.ar/dataset/energia,2026-08-18,2026-02,network/raw_official/centrales.zip,230ca3a5a2fa2c118fbae960a240dad249a579c66027da30dbcd8dadb55bd4,control source,NOT_APPLICABLE,75-record resource lacks power and is not used for capacity
IGN_PROVINCES,Instituto Geográfico Nacional,Provincia - límites oficiales,https://www.ign.gob.ar/NuestrasActividades/InformacionGeoespacial/CapasSIG,2026-08-18,2026,network/raw_official/ign_provincia.zip,1107432c677c6bc26ecbbe3e939ba176e0ade36ee3de1eb64e99d78e0601e9ea,map boundary,PASS,simplified only for display
IGN_PLANTS,Instituto Geográfico Nacional,Puntos de energía - centrales,https://www.ign.gob.ar/NuestrasActividades/InformacionGeoespacial/CapasSIG,2026-08-18,2026,network/raw_official/ign_centrales_energia.zip,584a8a48ff97fc07f5b5a1d0bb01cd0c57b037701fec9ae17db549192c87bf21,plant technology locations,PASS_WITH_LIMITATION,445 locations without MW in the used layer
IGN_TRANSFORMERS,Instituto Geográfico Nacional,Puntos de energía - transformadores,https://www.ign.gob.ar/NuestrasActividades/InformacionGeoespacial/CapasSIG,2026-08-18,2026,network/raw_official/ign_transformadores.zip,040a0cd70b6151c6bb93b83baa2146168362ceb0c74a52b6c57d73e7248dd440,location cross-check,PASS_WITH_LIMITATION,not a complete electrical model
IGN_ARGENMAP,Instituto Geográfico Nacional,Argenmap Topo,https://www.ign.gob.ar/NuestrasActividades/InformacionGeoespacial/ServiciosOGC,2026-08-18,2026,network/processed/argenmap_topo_z5_mosaic.png,4a259ca088e29770102074fba653af18866bb95f16271ea0326dbd2684f38a51,relief background,PASS,zoom-5 visual context only
CAM_MAPS,CAMMESA,Geografía del SADI y unifilares,https://cammesaweb.cammesa.com/geografia-del-sadi/,2026-08-18,2026-08,network/raw_official/GEOSADI2026_08(1).pdf,506f2392268044c2ada2c440fe9d3eee6f778757933d66f372e39c6c0b666c65,visual topology control,PASS,not digitized as flow
WDI_POP,World Bank,Population total SP.POP.TOTL,https://data.worldbank.org/indicator/SP.POP.TOTL,2026-08-18,2025,sources/world_bank_population_2025.json,841760e1cbb07cc7ed1169cb57628f2ff31b1e02964eb7f9e954eb18306d3619,regional per-capita denominator,PASS,does not control economic structure or climate
INTI_RE,INTI,Servicios tecnológicos para energías renovables,https://www.argentina.gob.ar/inti/servicios-inti/energias-renovables,2026-08-18,2026,,,capability evidence,PASS_WITH_LIMITATION,existence does not establish industrial scale
IMPSA_HYDRO,IMPSA,Hydro,https://www.impsa.com/productos/hydro/,2026-08-18,2026,,,capability evidence,PASS_WITH_LIMITATION,company statement not an independent census
CAM_SOTR,CAMMESA,Sistema de Operación en Tiempo Real,https://cammesaweb.cammesa.com/inicio-sotr/,2026-08-18,2026,,,operating capability evidence,PASS_WITH_LIMITATION,does not disclose full vendor dependency
CNEA,CNEA,Capacidades nucleares,https://www.argentina.gob.ar/cnea,2026-08-18,2026,,,capability evidence,PASS_WITH_LIMITATION,not a component-level industrial census
CYBER,Secretaría de Innovación Pública,Estrategia Nacional de Ciberseguridad,https://www.argentina.gob.ar/jefatura/innovacion-publica/direccion-nacional-ciberseguridad/normativa,2026-08-18,2023,,,institutional capability evidence,PASS_WITH_LIMITATION,not an electricity-sector OT audit
